Team,WinLoss_Record,Win_Percentage,MOV,ATS,Cover_Percentage
Milwaukee,159-79-0,0.6679999999999999,6.3,-0.5,0.608
Phoenix,147-78-0,0.653,4.5,1.5,0.595
Utah,141-79-0,0.6409999999999999,5.7,-0.1,0.561
Philadelphia,134-85-0,0.612,3.2,0.0,0.5539999999999999
LA Lakers,140-89-0,0.611,2.8,-1.1,0.5529999999999999
LA Clippers,143-94-0,0.603,4.2,0.4,0.531
Denver,139-93-0,0.599,2.3,0.2,0.53
Miami,136-93-0,0.594,1.9,0.3,0.529
Boston,130-97-0,0.573,4.1,1.5,0.524
Dallas,125-94-0,0.5710000000000001,2.9,1.0,0.522
Toronto,119-93-0,0.561,2.6,1.3,0.521
Brooklyn,121-98-0,0.5529999999999999,1.3,-0.1,0.517
Memphis,116-97-0,0.545,1.2,2.1,0.514
Portland,106-111-0,0.489,-1.1,-1.0,0.507
Golden State,96-102-0,0.485,-0.5,0.3,0.507
Indiana,100-111-0,0.474,-0.3,-0.5,0.5
Chicago,91-105-0,0.46399999999999997,-0.7,0.3,0.5
Atlanta,99-116-0,0.461,-1.7,-0.5,0.486
New York,88-114-0,0.436,-1.9,0.3,0.484
San Antonio,88-115-0,0.434,-1.0,0.2,0.47600000000000003
Charlotte,85-113-0,0.429,-3.3,0.2,0.474
Washington,88-121-0,0.42100000000000004,-3.3,-0.5,0.474
Okla City,87-122-0,0.41600000000000004,-5.0,-0.2,0.46799999999999997
New Orleans,84-119-0,0.414,-1.5,-0.1,0.446
Sacramento,84-120-0,0.41200000000000003,-3.5,-1.3,0.446
Cleveland,76-119-0,0.39,-4.5,0.2,0.43799999999999994
Houston,81-133-0,0.379,-4.2,-2.2,0.434
Minnesota,73-122-0,0.374,-3.0,-0.2,0.429
Orlando,68-142-0,0.324,-6.2,-1.4,0.406
Detroit,53-143-0,0.27,-5.8,-0.2,0.371
