Team,WinLoss_Record,Win_Percentage,MOV,ATS,Cover_Percentage
Utah,58-25-0,0.6990000000000001,7.9,1.0,0.61
Phoenix,65-29-0,0.6920000000000001,5.5,1.5,0.591
Philadelphia,56-28-0,0.667,5.9,1.5,0.573
Brooklyn,55-29-0,0.655,4.8,1.2,0.564
Milwaukee,62-33-0,0.653,5.7,-0.2,0.5579999999999999
LA Clippers,57-34-0,0.626,5.7,1.1,0.556
Denver,51-31-0,0.622,3.7,0.6,0.551
Dallas,45-34-0,0.57,1.6,-0.3,0.5489999999999999
LA Lakers,45-34-0,0.57,2.1,-0.8,0.5479999999999999
Atlanta,51-39-0,0.5670000000000001,1.6,1.5,0.5429999999999999
Portland,44-34-0,0.564,1.6,0.0,0.521
New York,42-35-0,0.546,1.7,3.5,0.514
Golden State,39-35-0,0.527,0.9,0.9,0.513
Miami,40-36-0,0.526,-1.1,-2.8,0.5
Memphis,41-38-0,0.519,0.5,1.1,0.5
Boston,38-40-0,0.48700000000000004,0.9,-0.5,0.484
Indiana,35-39-0,0.473,0.0,-0.2,0.48100000000000004
Washington,36-43-0,0.456,-2.4,0.4,0.479
San Antonio,33-40-0,0.452,-1.8,-0.7,0.473
Charlotte,33-40-0,0.452,-2.3,0.8,0.47200000000000003
Chicago,31-41-0,0.431,-0.9,1.3,0.47100000000000003
New Orleans,31-41-0,0.431,-0.3,-0.4,0.46299999999999997
Sacramento,31-41-0,0.431,-3.7,-1.5,0.462
Toronto,27-45-0,0.375,-0.5,-0.3,0.457
Minnesota,23-49-0,0.319,-5.6,-0.5,0.452
Okla City,22-50-0,0.306,-10.6,-2.9,0.43700000000000006
Cleveland,22-50-0,0.306,-8.4,-2.3,0.43700000000000006
Orlando,21-51-0,0.292,-9.3,-3.4,0.436
Detroit,20-52-0,0.278,-4.5,1.6,0.375
Houston,17-55-0,0.23600000000000002,-7.9,-2.6,0.35200000000000004
