G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.11900000000000001,-0.16,-0.139,-0.012,-0.19,-0.11900000000000001,-0.03,-0.146,-0.153,0.004,-0.073,-0.11800000000000001,0.039,-0.122,-0.071,-0.083,-0.11199999999999999,-0.185,-0.008,-0.131,-0.203,-0.152,0.571
72,-0.003,0.005,-0.006999999999999999,0.006,0.08199999999999999,0.053,0.01,-0.028999999999999998,-0.045,0.009,-0.132,-0.10300000000000001,-0.026,-0.004,-0.05,-0.039,0.021,-0.066,-0.057,0.017,-0.053,-0.009000000000000001,0.5
72,-0.11900000000000001,-0.139,-0.131,-0.004,-0.12300000000000001,-0.121,-0.001,-0.146,-0.138,-0.005,0.042,0.044000000000000004,-0.001,-0.045,-0.105,-0.092,-0.23199999999999998,-0.157,-0.067,-0.054000000000000006,-0.07,-0.11199999999999999,0.667
82,-0.001,0.099,0.064,0.015,0.099,0.135,-0.012,0.099,0.025,0.035,-0.02,-0.057999999999999996,0.031,0.048,-0.01,0.002,0.17,0.16899999999999998,0.166,-0.084,0.032,0.081,0.598
82,0.003,-0.009000000000000001,-0.0,-0.004,-0.047,-0.091,0.018,0.009000000000000001,0.057999999999999996,-0.024,-0.14800000000000002,-0.10800000000000001,-0.036,0.031,0.067,0.059000000000000004,-0.11,-0.021,0.09699999999999999,0.055999999999999994,-0.04,-0.037000000000000005,0.671
82,-0.001,-0.015,-0.046,0.015,0.374,0.28,0.024,-0.126,-0.182,0.033,0.011000000000000001,-0.013000000000000001,0.019,-0.217,-0.013000000000000001,-0.065,0.044000000000000004,-0.18,-0.023,-0.035,-0.061,0.022000000000000002,0.646
82,-0.005,0.006999999999999999,0.015,-0.003,0.086,0.06,0.008,-0.013000000000000001,-0.003,-0.005,0.201,0.15,0.034,0.044000000000000004,0.018000000000000002,0.024,-0.013999999999999999,0.11599999999999999,0.184,-0.005,0.033,0.043,0.585
82,0.008,0.066,0.048,0.008,0.14800000000000002,0.16899999999999998,-0.006,0.046,0.006999999999999999,0.018,-0.045,-0.016,-0.022,-0.071,0.07200000000000001,0.032,0.16399999999999998,0.154,-0.14300000000000002,-0.102,-0.003,0.053,0.488
82,-0.006,-0.002,0.066,-0.029,0.155,0.244,-0.026,-0.033,0.017,-0.024,0.005,0.005,0.0,0.498,-0.011000000000000001,0.094,-0.063,-0.124,-0.06,0.068,0.015,0.009000000000000001,0.305
81,0.245,0.282,0.27,0.004,0.37200000000000005,0.40700000000000003,-0.009,0.265,0.237,0.011,0.29600000000000004,0.298,-0.001,0.285,0.235,0.245,0.184,0.33899999999999997,0.008,0.20600000000000002,0.306,0.29,0.506
66,-0.19399999999999998,-0.226,-0.182,-0.026,-0.11,-0.11699999999999999,0.003,-0.244,-0.196,-0.03,-0.303,-0.31,0.008,-0.203,-0.193,-0.195,-0.18899999999999997,-0.263,0.052000000000000005,-0.18100000000000002,-0.21600000000000003,-0.23399999999999999,0.591
82,0.0,-0.005,-0.012,0.003,-0.182,-0.21899999999999997,0.016,0.03,0.049,-0.01,-0.064,-0.09300000000000001,0.024,-0.10800000000000001,0.038,0.005,-0.005,-0.036000000000000004,-0.14400000000000002,-0.02,-0.076,-0.027000000000000003,0.683
82,-0.005,-0.012,-0.006,-0.003,-0.07200000000000001,0.057999999999999996,-0.049,0.001,-0.024,0.013,-0.018000000000000002,0.006999999999999999,-0.019,-0.17600000000000002,-0.053,-0.084,0.037000000000000005,0.129,0.039,-0.048,-0.043,-0.017,0.61
82,0.006,0.03,0.006999999999999999,0.011,-0.09699999999999999,-0.134,0.016,0.062,0.054000000000000006,0.004,-0.054000000000000006,-0.046,-0.006,0.047,-0.011000000000000001,0.003,0.016,-0.10800000000000001,0.021,0.027000000000000003,0.018000000000000002,0.004,0.756
82,-0.005,0.045,-0.026000000000000002,0.032,0.265,0.21899999999999997,0.014,0.001,-0.087,0.045,0.004,-0.001,0.004,-0.096,0.094,0.040999999999999995,0.125,0.182,-0.008,-0.077,-0.054000000000000006,0.049,0.805
82,-0.001,-0.032,0.021,-0.024,0.009000000000000001,-0.005,0.005,-0.039,0.027999999999999997,-0.032,0.004,-0.012,0.012,0.129,-0.017,0.02,-0.05,0.019,-0.095,-0.006999999999999999,-0.03,-0.022000000000000002,0.293
82,0.0,-0.031,-0.028999999999999998,-0.001,0.069,0.03,0.013,-0.048,-0.043,-0.002,-0.063,-0.051,-0.009,-0.106,-0.002,-0.03,-0.052000000000000005,-0.133,-0.002,0.048,0.017,-0.033,0.402
82,0.009000000000000001,0.071,0.015,0.025,-0.21,-0.217,0.003,0.139,0.092,0.021,0.129,0.109,0.014,0.068,-0.001,0.017,0.075,-0.134,0.278,-0.026000000000000002,0.08900000000000001,0.063,0.549
82,-0.006,0.053,-0.013999999999999999,0.028,-0.231,-0.258,0.012,0.156,0.106,0.021,0.062,0.051,0.008,0.002,-0.013000000000000001,-0.009000000000000001,0.069,0.069,0.092,0.161,0.045,0.027999999999999997,0.439
82,0.0,-0.053,-0.033,-0.009,0.028999999999999998,0.107,-0.026,-0.08,-0.09,0.005,-0.012,0.017,-0.022,-0.047,-0.039,-0.040999999999999995,-0.085,-0.092,0.038,0.03,-0.01,-0.038,0.537
82,0.0,0.027999999999999997,0.038,-0.004,0.18100000000000002,0.192,-0.003,-0.013000000000000001,-0.013999999999999999,0.0,-0.076,-0.105,0.024,-0.006999999999999999,0.086,0.06,0.008,0.031,-0.131,-0.133,-0.09,0.018000000000000002,0.439
82,0.005,-0.092,-0.057,-0.016,0.42,0.29600000000000004,0.032,-0.17300000000000001,-0.13699999999999998,-0.02,0.0,0.006999999999999999,-0.005,-0.19,-0.022000000000000002,-0.075,-0.019,-0.033,0.175,0.021,-0.122,-0.048,0.427
82,0.624,0.682,0.652,0.008,0.527,0.662,-0.029,0.7090000000000001,0.65,0.016,1.176,1.0190000000000001,0.054,0.629,0.66,0.65,0.623,0.755,0.122,0.56,0.863,0.752,0.38
50,-0.384,-0.397,-0.39899999999999997,0.002,-0.342,-0.39299999999999996,0.028,-0.406,-0.401,-0.004,-0.47700000000000004,-0.452,-0.034,-0.431,-0.287,-0.34,-0.409,-0.541,-0.303,-0.39299999999999996,-0.45799999999999996,-0.409,0.439
82,-0.009000000000000001,-0.018000000000000002,-0.005,-0.006,-0.111,-0.062,-0.019,-0.001,0.009000000000000001,-0.004,-0.136,-0.107,-0.024,0.092,-0.066,-0.013000000000000001,0.013000000000000001,0.21899999999999997,0.162,-0.009000000000000001,0.15,-0.047,0.183
82,0.0,-0.031,0.004,-0.016,-0.134,-0.084,-0.02,-0.01,0.027000000000000003,-0.017,0.012,-0.037000000000000005,0.036,0.043,-0.098,-0.055999999999999994,0.0,0.24,-0.22399999999999998,0.031,-0.062,-0.028999999999999998,0.402
82,0.005,-0.005,0.013999999999999999,-0.009,0.489,0.47700000000000004,0.003,-0.069,-0.064,-0.002,-0.046,0.006999999999999999,-0.039,-0.092,0.046,0.0,0.005,0.067,0.125,-0.002,0.033,0.008,0.427
82,-0.005,-0.046,-0.03,-0.008,1.6230000000000002,1.063,0.079,-0.11800000000000001,-0.109,-0.005,0.16699999999999998,0.132,0.023,0.115,-0.025,0.017,-0.075,-0.092,-0.18,0.051,0.068,0.019,0.39
82,0.006,-0.035,-0.005,-0.015,0.255,0.245,0.002,-0.044000000000000004,-0.019,-0.013,-0.015,0.048,-0.047,-0.036000000000000004,-0.023,-0.027000000000000003,-0.036000000000000004,0.042,-0.039,0.057999999999999996,-0.006999999999999999,-0.027999999999999997,0.585
82,0.0,-0.025,-0.013999999999999999,-0.006,0.0,0.067,-0.019,-0.026000000000000002,-0.019,-0.004,-0.040999999999999995,-0.003,-0.031,-0.017,-0.057,-0.045,-0.035,0.017,-0.054000000000000006,0.008,0.10400000000000001,-0.027999999999999997,0.622
