G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.11699999999999999,-0.07400000000000001,-0.08,0.003,-0.124,-0.094,-0.012,-0.049,-0.071,0.012,-0.127,-0.092,-0.029,-0.084,-0.1,-0.096,-0.115,-0.035,-0.11,-0.21,-0.025,-0.08800000000000001,0.476
72,0.102,0.18600000000000003,0.132,0.02,0.255,0.195,0.018,0.152,0.09,0.028,0.08900000000000001,0.07,0.013,0.066,0.156,0.133,0.248,0.32,0.284,0.126,0.061,0.179,0.458
65,-0.20600000000000002,-0.264,-0.24100000000000002,-0.014,-0.19699999999999998,-0.198,0.001,-0.293,-0.267,-0.018,-0.303,-0.258,-0.049,-0.122,-0.256,-0.226,-0.187,-0.276,-0.33799999999999997,-0.052000000000000005,-0.21100000000000002,-0.264,0.354
82,0.003,0.031,0.036000000000000004,-0.002,0.18600000000000003,0.24600000000000002,-0.018,-0.022000000000000002,-0.06,0.02,-0.08800000000000001,-0.145,0.05,-0.016,-0.042,-0.036000000000000004,0.076,0.057,0.086,-0.038,0.1,0.023,0.476
82,-0.003,0.034,0.015,0.008,0.0,-0.049,0.018,0.046,0.047,-0.001,0.040999999999999995,0.135,-0.067,0.147,0.017,0.043,-0.064,-0.021,-0.044000000000000004,0.105,0.036000000000000004,0.032,0.439
82,-0.001,0.019,0.011000000000000001,0.003,-0.055999999999999994,-0.026000000000000002,-0.011,0.049,0.031,0.008,0.037000000000000005,0.006,0.024,-0.018000000000000002,-0.006,-0.008,0.064,-0.04,-0.11,-0.085,-0.085,0.013999999999999999,0.439
82,-0.003,0.042,-0.001,0.018,0.753,0.539,0.044,-0.10400000000000001,-0.159,0.029,0.098,0.04,0.042,-0.105,0.027000000000000003,-0.003,0.075,0.192,-0.022000000000000002,0.055,-0.005,0.098,0.585
82,0.0,-0.021,0.03,-0.022,-0.035,0.065,-0.033,-0.018000000000000002,0.02,-0.018,-0.052000000000000005,-0.067,0.011,0.057,0.025,0.032,-0.07,0.0,0.064,-0.034,0.001,-0.027999999999999997,0.402
82,0.005,0.054000000000000006,0.012,0.018,0.1,0.051,0.016,0.045,0.002,0.019,-0.047,-0.028999999999999998,-0.013,-0.154,0.14,0.059000000000000004,0.12,-0.156,-0.121,-0.124,-0.044000000000000004,0.037000000000000005,0.524
82,0.24600000000000002,0.287,0.256,0.01,0.7829999999999999,0.568,0.04,0.22,0.193,0.01,0.418,0.409,0.005,0.355,0.261,0.28600000000000003,0.19699999999999998,0.489,0.327,0.205,0.25,0.335,0.256
66,-0.198,-0.237,-0.168,-0.037,-0.331,-0.259,-0.032,-0.222,-0.147,-0.042,-0.27899999999999997,-0.26899999999999996,-0.01,-0.20199999999999999,-0.225,-0.21899999999999997,-0.233,-0.242,-0.166,-0.19699999999999998,-0.237,-0.25,0.106
82,-0.004,0.005,0.009000000000000001,-0.002,-0.146,-0.096,-0.019,0.034,0.038,-0.002,-0.077,-0.083,0.005,-0.012,-0.018000000000000002,-0.017,0.042,-0.171,-0.028999999999999998,-0.076,0.025,-0.021,0.415
82,-0.003,-0.003,0.001,-0.002,-0.061,-0.006,-0.02,0.009000000000000001,0.003,0.003,0.125,0.109,0.01,-0.032,0.052000000000000005,0.03,-0.048,0.09,0.12300000000000001,0.009000000000000001,-0.09,0.018000000000000002,0.537
82,0.003,-0.032,-0.039,0.003,-0.07400000000000001,-0.07200000000000001,-0.001,-0.023,-0.03,0.003,-0.036000000000000004,-0.071,0.027,-0.006999999999999999,-0.03,-0.024,-0.004,-0.055,-0.012,0.062,-0.013000000000000001,-0.035,0.427
82,-0.006,0.0,-0.013000000000000001,0.006,0.158,0.127,0.01,-0.028999999999999998,-0.047,0.009,-0.037000000000000005,-0.01,-0.02,-0.03,0.04,0.02,-0.048,-0.038,0.08900000000000001,-0.016,-0.105,0.002,0.39
82,0.005,-0.0,-0.028999999999999998,0.013,0.068,0.015,0.018,-0.012,-0.039,0.013,-0.016,-0.023,0.005,-0.071,0.033,0.002,0.069,-0.22399999999999998,0.042,0.049,0.013000000000000001,0.0,0.402
82,0.001,0.0,-0.002,0.001,0.33799999999999997,0.431,-0.024,-0.040999999999999995,-0.066,0.012,0.071,0.043,0.019,-0.086,-0.027999999999999997,-0.046,-0.043,0.183,-0.195,-0.021,0.035,0.027999999999999997,0.317
82,-0.006,0.033,0.012,0.009,0.018000000000000002,0.01,0.003,0.035,0.013000000000000001,0.01,-0.019,-0.019,-0.0,0.025,-0.039,-0.021,-0.07400000000000001,-0.018000000000000002,0.002,-0.027999999999999997,-0.003,0.021,0.537
82,0.005,-0.046,-0.005,-0.019,0.003,-0.017,0.007,-0.052000000000000005,-0.003,-0.023,-0.142,-0.127,-0.013,0.16899999999999998,-0.01,0.035,-0.061,-0.092,-0.052000000000000005,-0.019,0.05,-0.066,0.561
82,0.628,0.7559999999999999,0.757,-0.0,0.265,0.36200000000000004,-0.026,0.85,0.855,-0.001,0.802,0.7759999999999999,0.011,0.8420000000000001,0.765,0.784,0.823,0.652,0.943,0.515,0.517,0.738,0.52
50,-0.386,-0.43700000000000006,-0.414,-0.018,-0.225,-0.187,-0.018,-0.465,-0.452,-0.012,-0.37,-0.36700000000000005,-0.004,-0.513,-0.36200000000000004,-0.40700000000000003,-0.428,-0.359,-0.20800000000000002,-0.36200000000000004,-0.373,-0.414,0.622
82,-0.001,-0.006999999999999999,0.0,-0.003,-0.415,-0.34600000000000003,-0.045,0.094,0.09699999999999999,-0.001,0.065,0.102,-0.026,0.08199999999999999,0.019,0.037000000000000005,-0.04,0.157,-0.106,0.037000000000000005,0.032,-0.023,0.659
82,-0.004,-0.039,-0.042,0.002,0.012,-0.091,0.043,-0.05,-0.027000000000000003,-0.012,-0.055,-0.064,0.007,-0.078,0.019,-0.011000000000000001,0.06,0.026000000000000002,0.26,-0.031,-0.062,-0.038,0.5
82,0.004,0.019,0.027999999999999997,-0.004,0.043,0.079,-0.013,0.013000000000000001,0.013999999999999999,-0.0,0.027999999999999997,0.038,-0.007,0.18600000000000003,-0.057999999999999996,0.005,-0.08,-0.061,-0.306,0.013999999999999999,0.077,0.022000000000000002,0.61
82,-0.001,-0.098,-0.09300000000000001,-0.002,0.667,0.5379999999999999,0.031,-0.182,-0.187,0.003,-0.027999999999999997,-0.044000000000000004,0.013,-0.184,-0.032,-0.076,-0.064,-0.14400000000000002,0.013000000000000001,-0.033,-0.035,-0.055,0.5
82,0.004,-0.037000000000000005,-0.015,-0.011,0.92,0.706,0.041,-0.087,-0.073,-0.008,-0.109,-0.10099999999999999,-0.007,-0.069,-0.013000000000000001,-0.03,0.025,0.133,-0.16699999999999998,-0.045,-0.024,-0.033,0.537
