G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.142,-0.142,-0.154,0.006,-0.24100000000000002,-0.249,0.004,-0.1,-0.094,-0.004,0.079,0.049,0.023,-0.21600000000000003,-0.16,-0.172,-0.222,-0.085,-0.08199999999999999,-0.262,-0.149,-0.126,0.629
72,0.109,0.18,0.107,0.029,0.14,0.07200000000000001,0.022,0.19699999999999998,0.13,0.03,-0.011000000000000001,-0.055999999999999994,0.036,0.019,0.24600000000000002,0.19,0.276,-0.261,0.147,0.084,-0.039,0.147,0.431
65,-0.213,-0.212,-0.2,-0.007,0.064,0.075,-0.003,-0.294,-0.315,0.015,-0.242,-0.214,-0.028,-0.053,-0.271,-0.226,-0.159,0.081,-0.245,-0.133,-0.14800000000000002,-0.193,0.338
82,0.003,0.03,-0.011000000000000001,0.018,-0.17800000000000002,-0.16699999999999998,-0.005,0.114,0.073,0.018,0.11199999999999999,0.077,0.025,-0.091,-0.026000000000000002,-0.04,-0.066,-0.037000000000000005,0.215,0.01,0.059000000000000004,0.02,0.268
82,0.004,0.0,0.02,-0.009,0.45399999999999996,0.392,0.015,-0.111,-0.10800000000000001,-0.001,-0.19,-0.14800000000000002,-0.039,-0.209,0.027000000000000003,-0.035,0.039,-0.026000000000000002,-0.265,0.031,0.08,0.001,0.329
82,-0.006,0.001,-0.004,0.002,-0.043,0.044000000000000004,-0.031,0.013000000000000001,-0.02,0.015,0.08900000000000001,0.07400000000000001,0.01,0.10099999999999999,-0.032,0.0,-0.01,0.299,-0.16399999999999998,-0.025,-0.057999999999999996,0.012,0.5
82,0.001,0.055,0.055,-0.0,0.009000000000000001,-0.039,0.018,0.067,0.09,-0.01,-0.163,-0.168,0.004,-0.054000000000000006,0.035,0.012,0.05,-0.037000000000000005,-0.013000000000000001,-0.003,0.033,0.008,0.512
82,-0.003,0.055999999999999994,0.033,0.009,0.27,0.251,0.005,0.009000000000000001,-0.028999999999999998,0.018,0.08900000000000001,0.083,0.004,0.023,0.040999999999999995,0.036000000000000004,-0.042,-0.135,0.12300000000000001,-0.064,-0.045,0.076,0.61
82,0.005,-0.027999999999999997,-0.018000000000000002,-0.005,0.139,0.153,-0.004,-0.057999999999999996,-0.057999999999999996,-0.0,0.106,0.098,0.006,-0.087,0.067,0.023,-0.013999999999999999,0.01,0.017,0.044000000000000004,-0.032,0.005,0.585
82,0.244,0.18600000000000003,0.226,-0.015,0.064,0.132,-0.023,0.21100000000000002,0.25,-0.015,0.335,0.247,0.051,0.121,0.161,0.149,0.235,0.289,0.075,0.26899999999999996,0.42,0.20199999999999999,0.549
66,-0.196,-0.18899999999999997,-0.171,-0.01,-0.18,-0.21100000000000002,0.014,-0.191,-0.16,-0.018,-0.326,-0.306,-0.021,-0.054000000000000006,-0.184,-0.149,-0.16399999999999998,-0.23,-0.171,-0.205,-0.305,-0.214,0.758
82,-0.004,-0.013000000000000001,-0.035,0.01,0.452,0.327,0.031,-0.073,-0.102,0.015,0.009000000000000001,0.023,-0.011,0.032,-0.022000000000000002,-0.008,0.07200000000000001,0.115,-0.021,-0.012,-0.005,0.012,0.756
82,-0.001,-0.013999999999999999,-0.003,-0.005,-0.28600000000000003,-0.17600000000000002,-0.051,0.036000000000000004,0.037000000000000005,-0.0,-0.094,-0.044000000000000004,-0.042,-0.034,0.094,0.057999999999999996,-0.016,-0.13699999999999998,0.055,-0.013999999999999999,-0.036000000000000004,-0.046,0.5
82,0.006,0.047,-0.002,0.021,0.04,-0.009000000000000001,0.018,0.048,-0.001,0.022,0.065,0.011000000000000001,0.04,-0.076,0.001,-0.022000000000000002,-0.044000000000000004,-0.031,0.055999999999999994,-0.004,-0.042,0.05,0.5
82,0.001,-0.019,0.03,-0.022,-0.012,0.055,-0.025,-0.021,0.024,-0.021,0.003,-0.026000000000000002,0.022,0.067,-0.046,-0.015,-0.011000000000000001,-0.006,-0.036000000000000004,-0.086,-0.065,-0.015,0.402
82,-0.006,0.013999999999999999,-0.011000000000000001,0.011,-0.14300000000000002,-0.162,0.009,0.05,0.032,0.008,0.052000000000000005,0.059000000000000004,-0.005,0.086,-0.002,0.021,0.016,0.258,0.29,0.07,-0.064,0.01,0.598
82,0.004,0.054000000000000006,0.022000000000000002,0.014,0.096,0.031,0.023,0.045,0.02,0.011,-0.055,-0.04,-0.012,-0.095,0.004,-0.023,0.035,-0.11800000000000001,-0.065,-0.107,0.005,0.036000000000000004,0.5
82,0.0,0.018000000000000002,-0.024,0.018,0.191,0.141,0.015,-0.013000000000000001,-0.061,0.022,0.155,0.11699999999999999,0.025,-0.045,0.028999999999999998,0.006999999999999999,-0.027999999999999997,-0.126,-0.068,0.038,0.061,0.053,0.573
82,-0.005,-0.065,0.006,-0.031,0.22899999999999998,0.26,-0.008,-0.10300000000000001,-0.038,-0.031,-0.086,-0.08900000000000001,0.003,0.064,-0.009000000000000001,0.012,0.006,0.08900000000000001,-0.141,-0.048,-0.057999999999999996,-0.055,0.28
82,0.006,0.064,0.034,0.012,0.163,0.149,0.004,0.052000000000000005,0.017,0.016,0.03,0.028999999999999998,0.001,0.066,0.077,0.07400000000000001,-0.019,-0.044000000000000004,0.27699999999999997,0.109,0.106,0.061,0.366
82,-0.003,0.033,0.012,0.009,-0.08800000000000001,-0.086,-0.001,0.05,0.03,0.009,0.002,0.026000000000000002,-0.017,-0.002,0.044000000000000004,0.03,0.004,-0.062,-0.047,-0.031,-0.036000000000000004,0.021,0.183
82,0.003,0.061,0.037000000000000005,0.009,-0.032,-0.079,0.017,0.075,0.061,0.006,-0.049,-0.086,0.029,-0.10300000000000001,-0.027000000000000003,-0.05,0.1,0.045,-0.01,-0.17,-0.003,0.033,0.207
82,0.64,0.667,0.611,0.014,0.9209999999999999,0.6859999999999999,0.04,0.634,0.596,0.01,0.764,0.763,0.001,0.8009999999999999,0.6659999999999999,0.706,0.618,0.48200000000000004,1.266,1.012,0.716,0.698,0.26
50,-0.392,-0.498,-0.436,-0.049,-0.431,-0.364,-0.034,-0.505,-0.44799999999999995,-0.049,-0.43700000000000006,-0.41,-0.034,-0.539,-0.428,-0.466,-0.479,-0.374,-0.521,-0.34299999999999997,-0.342,-0.484,0.756
82,0.006,-0.065,-0.018000000000000002,-0.023,-0.405,-0.314,-0.049,-0.0,0.057999999999999996,-0.027,0.08,0.087,-0.005,0.006,-0.009000000000000001,-0.004,-0.08900000000000001,-0.027999999999999997,0.063,0.062,0.046,-0.062,0.841
82,0.0,-0.005,0.004,-0.004,-0.039,0.04,-0.03,0.002,-0.004,0.003,-0.076,-0.078,0.001,-0.01,0.021,0.01,0.054000000000000006,-0.039,-0.038,-0.055999999999999994,-0.105,-0.019,0.878
82,-0.005,0.032,0.027000000000000003,0.002,0.228,0.136,0.03,0.0,0.004,-0.002,-0.003,-0.03,0.02,0.127,0.051,0.076,0.032,-0.065,-0.02,-0.094,-0.079,0.036000000000000004,0.573
