G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.16,-0.135,-0.165,0.016,-0.006999999999999999,-0.054000000000000006,0.017,-0.18,-0.223,0.028,-0.18,-0.195,0.013,-0.161,-0.09699999999999999,-0.11199999999999999,-0.105,-0.22,-0.188,-0.184,-0.212,-0.13,0.59
72,0.10800000000000001,0.061,0.08,-0.008,-0.01,0.034,-0.015,0.08800000000000001,0.107,-0.009,0.221,0.245,-0.015,0.067,0.071,0.07,0.14400000000000002,0.251,0.54,0.038,0.10099999999999999,0.076,0.306
65,-0.204,-0.179,-0.204,0.014,-0.142,-0.133,-0.003,-0.192,-0.24,0.031,-0.268,-0.235,-0.034,-0.19899999999999998,-0.171,-0.17800000000000002,-0.11699999999999999,-0.163,0.08199999999999999,-0.03,-0.276,-0.18899999999999997,0.292
82,0.001,-0.037000000000000005,0.034,-0.032,-0.13699999999999998,-0.094,-0.017,0.005,0.11199999999999999,-0.052,-0.098,-0.113,0.013,0.267,-0.051,0.012,-0.114,-0.08199999999999999,-0.375,-0.018000000000000002,0.077,-0.057999999999999996,0.232
82,-0.008,0.011000000000000001,-0.002,0.006,-0.081,-0.051,-0.012,0.055,0.031,0.012,0.04,-0.002,0.031,-0.094,-0.021,-0.037000000000000005,0.031,0.08,-0.046,0.004,0.026000000000000002,0.005,0.61
82,0.001,0.033,0.011000000000000001,0.01,0.212,0.145,0.022,-0.036000000000000004,-0.062,0.014,0.07400000000000001,0.073,0.0,-0.12300000000000001,0.016,-0.017,-0.002,-0.022000000000000002,0.032,0.006,-0.10800000000000001,0.057999999999999996,0.622
82,0.004,0.027000000000000003,0.022000000000000002,0.002,0.065,0.078,-0.004,0.012,-0.006,0.009,-0.083,-0.078,-0.004,-0.042,0.063,0.036000000000000004,0.026000000000000002,-0.086,-0.068,-0.049,0.10300000000000001,0.012,0.695
82,-0.008,0.017,-0.031,0.022,0.414,0.374,0.011,-0.077,-0.156,0.043,0.039,0.039,0.0,-0.079,-0.006,-0.026000000000000002,0.044000000000000004,0.040999999999999995,0.11800000000000001,0.006999999999999999,-0.079,0.05,0.646
82,0.01,0.013999999999999999,0.008,0.003,0.068,0.037000000000000005,0.01,0.002,-0.001,0.002,0.013000000000000001,0.019,-0.005,-0.015,0.114,0.076,0.026000000000000002,-0.105,-0.09,0.012,-0.055999999999999994,0.018000000000000002,0.402
82,0.23600000000000002,0.324,0.287,0.012,0.243,0.242,0.0,0.34299999999999997,0.302,0.014,0.171,0.11,0.04,0.19399999999999998,0.21,0.205,0.295,0.38799999999999996,0.275,0.13,0.319,0.289,0.293
