G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.15,-0.193,-0.16699999999999998,-0.015,-0.217,-0.179,-0.017,-0.18100000000000002,-0.159,-0.015,-0.192,-0.18100000000000002,-0.011,-0.128,-0.157,-0.151,-0.128,-0.049,-0.193,-0.114,-0.133,-0.196,0.59
72,-0.048,-0.053,-0.07200000000000001,0.009,-0.125,-0.113,-0.005,-0.012,-0.036000000000000004,0.014,-0.14800000000000002,-0.147,-0.001,-0.16899999999999998,-0.09699999999999999,-0.114,-0.109,-0.022000000000000002,-0.14300000000000002,-0.08800000000000001,-0.045,-0.077,0.583
75,-0.081,-0.018000000000000002,-0.049,0.015,0.11199999999999999,0.031,0.027,-0.08,-0.10800000000000001,0.016,-0.09699999999999999,-0.139,0.037,-0.049,-0.054000000000000006,-0.053,-0.036000000000000004,-0.13699999999999998,0.034,-0.183,-0.114,-0.017,0.573
82,-0.001,0.017,0.011000000000000001,0.003,0.057,0.11699999999999999,-0.019,-0.0,-0.054000000000000006,0.028,0.32,0.35700000000000004,-0.02,0.249,0.061,0.098,0.032,-0.078,0.132,0.158,0.046,0.064,0.402
82,0.001,0.054000000000000006,0.043,0.004,0.10099999999999999,0.087,0.005,0.034,0.018000000000000002,0.008,-0.04,0.009000000000000001,-0.039,0.028999999999999998,0.08,0.07,0.09,-0.059000000000000004,0.01,0.037000000000000005,0.006999999999999999,0.045,0.293
82,-0.011000000000000001,-0.031,-0.022000000000000002,-0.004,0.08900000000000001,0.055999999999999994,0.011,-0.07400000000000001,-0.062,-0.007,-0.16399999999999998,-0.172,0.007,-0.138,-0.095,-0.10400000000000001,-0.06,0.096,0.003,-0.07200000000000001,-0.018000000000000002,-0.043,0.402
82,0.006,-0.059000000000000004,-0.019,-0.019,0.10099999999999999,0.125,-0.007,-0.105,-0.08,-0.014,0.049,-0.006999999999999999,0.042,-0.125,0.066,0.019,-0.018000000000000002,-0.155,-0.175,-0.013999999999999999,-0.03,-0.027999999999999997,0.512
82,0.003,0.002,0.026000000000000002,-0.011,0.015,0.109,-0.033,-0.002,-0.005,0.002,0.006,0.063,-0.043,0.021,0.037000000000000005,0.033,-0.046,-0.057999999999999996,0.042,-0.043,0.005,0.004,0.61
82,-0.008,0.021,-0.005,0.012,0.19,0.153,0.012,-0.019,-0.054000000000000006,0.018,0.042,0.038,0.002,0.095,-0.057999999999999996,-0.024,0.015,0.086,-0.21600000000000003,-0.03,-0.037000000000000005,0.037000000000000005,0.598
82,0.244,0.327,0.273,0.019,0.21899999999999997,0.11199999999999999,0.033,0.355,0.33299999999999996,0.008,0.28600000000000003,0.251,0.021,0.153,0.23800000000000002,0.218,0.381,0.147,0.34700000000000003,0.235,0.385,0.312,0.5
