G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.16,-0.196,-0.17800000000000002,-0.01,-0.14300000000000002,-0.09300000000000001,-0.021,-0.218,-0.23199999999999998,0.01,-0.16899999999999998,-0.156,-0.013,-0.27699999999999997,-0.124,-0.16,-0.142,-0.244,-0.31,-0.095,-0.138,-0.18600000000000003,0.59
72,-0.015,0.015,-0.01,0.012,0.157,0.102,0.018,-0.036000000000000004,-0.069,0.019,-0.047,-0.079,0.026,-0.036000000000000004,0.002,-0.006999999999999999,-0.01,-0.006999999999999999,-0.042,-0.033,-0.075,0.02,0.653
73,-0.10099999999999999,-0.10800000000000001,-0.121,0.007,-0.113,-0.131,0.007,-0.106,-0.11599999999999999,0.006,-0.084,-0.11,0.022,-0.191,-0.14,-0.153,-0.131,-0.076,-0.07200000000000001,-0.08800000000000001,-0.09699999999999999,-0.105,0.63
82,-0.008,0.03,0.04,-0.004,-0.039,0.013999999999999999,-0.019,0.057999999999999996,0.054000000000000006,0.002,-0.078,-0.063,-0.012,0.078,0.031,0.042,0.09,0.011000000000000001,-0.10099999999999999,-0.102,0.07200000000000001,0.006,0.659
82,0.006,-0.012,-0.013000000000000001,0.001,0.08,0.07200000000000001,0.003,-0.043,-0.054000000000000006,0.006,-0.087,-0.079,-0.007,-0.066,-0.031,-0.04,-0.009000000000000001,0.10400000000000001,0.251,0.001,-0.022000000000000002,-0.015,0.561
82,-0.004,0.092,0.027000000000000003,0.028,0.326,0.217,0.03,0.028999999999999998,-0.046,0.038,0.016,0.006,0.007,0.027000000000000003,0.044000000000000004,0.039,0.11800000000000001,-0.067,-0.182,0.02,-0.091,0.096,0.488
82,-0.003,-0.002,-0.022000000000000002,0.009,-0.006,-0.044000000000000004,0.013,-0.001,-0.013000000000000001,0.006,0.035,-0.009000000000000001,0.032,-0.07,0.025,-0.002,0.039,-0.05,0.076,0.031,-0.084,0.004,0.402
82,0.006,-0.015,0.016,-0.014,-0.06,0.037000000000000005,-0.034,-0.002,0.008,-0.005,-0.065,-0.076,0.009,0.003,-0.024,-0.016,-0.027000000000000003,0.042,-0.2,-0.107,-0.004,-0.027999999999999997,0.366
82,-0.008,-0.057999999999999996,0.008,-0.031,0.34700000000000003,0.29100000000000004,0.015,-0.132,-0.07,-0.035,0.039,0.003,0.025,-0.076,0.045,0.009000000000000001,-0.08199999999999999,-0.193,-0.139,0.042,0.124,-0.017,0.439
82,0.24100000000000002,0.298,0.292,0.002,0.198,0.158,0.011,0.319,0.335,-0.006,0.16399999999999998,0.22,-0.034,0.48,0.23600000000000002,0.299,0.266,0.41100000000000003,0.615,0.23399999999999999,0.297,0.267,0.695
66,-0.18600000000000003,-0.182,-0.183,0.0,-0.34299999999999997,-0.231,-0.057,-0.139,-0.166,0.016,-0.304,-0.275,-0.031,-0.067,-0.20600000000000002,-0.174,-0.128,-0.107,-0.062,-0.12300000000000001,-0.245,-0.22,0.576
82,-0.004,0.006999999999999999,-0.01,0.008,0.217,0.12300000000000001,0.03,-0.038,-0.049,0.006,-0.04,-0.031,-0.007,-0.11,0.059000000000000004,0.013999999999999999,0.055,-0.114,-0.156,0.018000000000000002,-0.068,0.009000000000000001,0.61
82,0.003,0.022000000000000002,0.026000000000000002,-0.002,-0.006999999999999999,0.027000000000000003,-0.012,0.027999999999999997,0.025,0.001,0.024,0.008,0.012,-0.018000000000000002,-0.001,-0.005,-0.055,-0.038,-0.152,-0.096,-0.016,0.02,0.646
82,-0.006,-0.075,-0.075,-0.0,-0.037000000000000005,-0.08,0.017,-0.083,-0.07400000000000001,-0.005,0.0,-0.013000000000000001,0.01,-0.013999999999999999,-0.071,-0.055999999999999994,-0.10099999999999999,-0.055999999999999994,-0.107,0.045,0.083,-0.057,0.659
82,0.004,0.045,0.034,0.005,0.17600000000000002,0.115,0.018,0.022000000000000002,0.013000000000000001,0.004,0.035,0.028999999999999998,0.005,-0.083,0.055,0.016,0.054000000000000006,0.109,0.267,-0.11,-0.013999999999999999,0.05,0.61
82,-0.008,0.027999999999999997,0.02,0.004,0.38299999999999995,0.33799999999999997,0.011,-0.018000000000000002,-0.040999999999999995,0.012,0.062,0.059000000000000004,0.002,0.109,0.028999999999999998,0.05,-0.001,-0.028999999999999998,-0.06,0.11199999999999999,-0.057,0.05,0.549
82,0.009000000000000001,0.013000000000000001,0.009000000000000001,0.002,0.094,0.145,-0.015,0.004,-0.013999999999999999,0.009,-0.025,-0.0,-0.019,-0.066,0.005,-0.015,-0.019,-0.069,-0.053,-0.006999999999999999,-0.008,0.008,0.537
82,0.001,0.015,-0.022000000000000002,0.017,-0.033,-0.046,0.004,0.021,-0.018000000000000002,0.018,0.066,0.071,-0.003,-0.107,0.036000000000000004,-0.009000000000000001,0.091,0.006999999999999999,-0.06,-0.042,0.040999999999999995,0.024,0.598
82,0.0,0.113,0.033,0.032,0.445,0.195,0.058,0.08199999999999999,0.01,0.031,0.27899999999999997,0.16699999999999998,0.067,-0.026000000000000002,0.01,-0.001,0.033,0.046,0.23199999999999998,-0.156,-0.12300000000000001,0.155,0.524
82,-0.004,-0.078,-0.047,-0.013,-0.45899999999999996,-0.359,-0.051,-0.013000000000000001,0.024,-0.016,-0.009000000000000001,0.054000000000000006,-0.044,-0.004,0.023,0.013999999999999999,-0.044000000000000004,0.162,-0.087,0.256,0.098,-0.087,0.207
82,0.001,-0.021,-0.001,-0.009,-0.174,-0.11,-0.025,0.01,0.027999999999999997,-0.008,-0.098,-0.106,0.006,0.07,-0.106,-0.055,-0.078,0.111,-0.141,0.061,0.028999999999999998,-0.045,0.488
82,-0.004,-0.026000000000000002,-0.005,-0.009,0.08900000000000001,0.034,0.018,-0.046,-0.015,-0.015,-0.054000000000000006,-0.07200000000000001,0.014,-0.027000000000000003,-0.003,-0.01,0.031,-0.004,-0.129,-0.113,-0.07200000000000001,-0.024,0.427
82,0.6509999999999999,0.8190000000000001,0.733,0.021,0.556,0.515,0.009,0.8759999999999999,0.7979999999999999,0.02,0.516,0.597,-0.039,0.6579999999999999,0.861,0.7959999999999999,0.972,0.473,1.247,0.733,0.7140000000000001,0.736,0.28
50,-0.391,-0.37200000000000005,-0.37799999999999995,0.004,0.049,0.032,0.005,-0.423,-0.444,0.017,-0.391,-0.38299999999999995,-0.01,-0.37799999999999995,-0.355,-0.36200000000000004,-0.374,-0.434,-0.3,-0.436,-0.409,-0.36,0.134
82,-0.01,-0.08800000000000001,-0.040999999999999995,-0.021,-0.547,-0.478,-0.049,0.04,0.109,-0.029,0.094,0.078,0.011,0.046,-0.12,-0.07200000000000001,-0.18100000000000002,0.32,-0.193,-0.035,0.086,-0.09,0.256
82,0.005,-0.022000000000000002,0.005,-0.012,0.602,0.49,0.026,-0.11800000000000001,-0.09699999999999999,-0.011,-0.061,-0.083,0.018,-0.06,-0.013999999999999999,-0.027999999999999997,0.021,-0.035,-0.184,0.07400000000000001,-0.052000000000000005,0.001,0.427
82,-0.008,-0.031,0.03,-0.029,-0.039,-0.01,-0.01,-0.03,0.039,-0.034,-0.051,-0.057,0.005,0.016,0.035,0.03,0.008,-0.21100000000000002,0.021,-0.084,-0.08800000000000001,-0.036000000000000004,0.5
82,0.011000000000000001,-0.018000000000000002,-0.047,0.014,1.429,0.943,0.071,-0.10099999999999999,-0.14300000000000002,0.024,-0.022000000000000002,-0.049,0.02,-0.059000000000000004,-0.061,-0.06,0.040999999999999995,-0.027999999999999997,-0.147,-0.028999999999999998,0.071,0.011000000000000001,0.512
82,-0.004,-0.057999999999999996,-0.069,0.005,0.23199999999999998,0.315,-0.019,-0.071,-0.094,0.012,-0.025,0.027000000000000003,-0.038,-0.127,-0.003,-0.044000000000000004,0.016,0.043,0.214,0.006,-0.055,-0.047,0.439
82,0.003,0.027999999999999997,-0.013000000000000001,0.018,0.095,0.086,0.003,0.025,-0.019,0.02,0.16899999999999998,0.142,0.018,-0.062,0.09,0.035,0.11699999999999999,-0.158,0.226,-0.023,0.027999999999999997,0.055,0.293
82,0.003,-0.16399999999999998,-0.168,0.002,-0.58,-0.605,0.018,-0.129,-0.10800000000000001,-0.011,-0.11599999999999999,-0.087,-0.024,-0.11199999999999999,-0.07,-0.086,-0.225,-0.09699999999999999,0.135,0.086,-0.11199999999999999,-0.168,0.244
82,-0.004,0.05,0.106,-0.024,0.316,0.564,-0.053,0.032,0.064,-0.014,-0.006,0.027999999999999997,-0.026,0.3,-0.001,0.094,-0.11900000000000001,0.052000000000000005,0.23399999999999999,0.17300000000000001,0.092,0.046,0.524
