G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.156,-0.17800000000000002,-0.12,-0.03,-0.19,-0.111,-0.031,-0.17300000000000001,-0.126,-0.028,-0.18899999999999997,-0.209,0.019,-0.024,-0.18100000000000002,-0.145,-0.205,-0.113,-0.21,-0.17600000000000002,-0.10400000000000001,-0.18100000000000002,0.246
72,0.092,0.07200000000000001,0.08900000000000001,-0.007,0.052000000000000005,0.099,-0.016,0.081,0.083,-0.001,0.165,0.14,0.016,0.078,0.129,0.11699999999999999,0.09699999999999999,0.084,0.24100000000000002,0.066,0.13699999999999998,0.084,0.278
66,-0.196,-0.185,-0.218,0.019,-0.203,-0.244,0.019,-0.177,-0.201,0.015,-0.225,-0.22,-0.004,-0.312,-0.23399999999999999,-0.254,-0.139,-0.139,-0.09699999999999999,-0.11199999999999999,-0.28300000000000003,-0.19399999999999998,0.303
82,0.003,-0.006999999999999999,0.015,-0.01,0.121,0.203,-0.025,-0.055999999999999994,-0.078,0.012,0.172,0.168,0.003,0.128,-0.001,0.027999999999999997,-0.012,-0.094,0.044000000000000004,0.028999999999999998,0.201,0.032,0.5
82,0.0,-0.019,-0.021,0.001,0.40399999999999997,0.239,0.044,-0.12,-0.114,-0.003,0.059000000000000004,0.022000000000000002,0.026,-0.086,-0.028999999999999998,-0.043,0.079,0.094,0.023,0.134,0.027999999999999997,0.024,0.476
82,-0.004,0.051,0.027999999999999997,0.01,-0.147,-0.10800000000000001,-0.015,0.113,0.087,0.011,-0.185,-0.243,0.051,-0.111,0.022000000000000002,-0.013999999999999999,0.087,0.002,0.02,-0.12300000000000001,-0.057999999999999996,-0.006,0.451
82,0.003,0.023,0.006999999999999999,0.007,0.053,0.051,0.0,0.013999999999999999,-0.011000000000000001,0.012,0.083,0.14,-0.035,-0.028999999999999998,0.055999999999999994,0.032,-0.1,-0.08,-0.20600000000000002,0.01,-0.001,0.035,0.537
82,0.003,-0.044000000000000004,-0.012,-0.015,0.387,0.293,0.023,-0.126,-0.099,-0.014,-0.087,-0.129,0.033,-0.121,0.042,-0.011000000000000001,0.033,-0.09300000000000001,-0.03,-0.079,-0.064,-0.025,0.39
82,-0.001,0.068,0.073,-0.002,-0.012,0.09699999999999999,-0.035,0.085,0.067,0.008,0.083,0.129,-0.029,0.207,0.025,0.077,-0.016,0.19699999999999998,-0.012,-0.039,0.026000000000000002,0.065,0.354
82,0.24100000000000002,0.3,0.26899999999999996,0.011,0.618,0.5720000000000001,0.01,0.249,0.204,0.017,0.19,0.28,-0.053,0.27899999999999997,0.309,0.3,0.414,0.248,0.439,0.201,0.255,0.297,0.354
66,-0.19699999999999998,-0.25,-0.213,-0.022,-0.32799999999999996,-0.271,-0.03,-0.23600000000000002,-0.19899999999999998,-0.022,-0.19699999999999998,-0.212,0.014,-0.168,-0.158,-0.161,-0.28800000000000003,-0.22699999999999998,-0.152,-0.032,-0.20600000000000002,-0.24600000000000002,0.379
82,0.005,0.039,0.006999999999999999,0.014,0.262,0.055,0.062,0.006999999999999999,-0.004,0.005,-0.06,-0.07200000000000001,0.009,-0.11599999999999999,-0.003,-0.039,0.087,-0.002,0.048,-0.03,-0.106,0.031,0.366
82,-0.006,-0.013999999999999999,0.006999999999999999,-0.009,-0.008,0.10300000000000001,-0.035,-0.015,-0.012,-0.001,0.048,0.081,-0.022,0.11,-0.084,-0.03,-0.057999999999999996,0.209,-0.17,0.131,0.064,-0.002,0.329
82,0.009000000000000001,-0.006,0.001,-0.003,-0.226,-0.18899999999999997,-0.017,0.037000000000000005,0.05,-0.006,-0.079,-0.059000000000000004,-0.016,-0.026000000000000002,0.01,0.0,-0.078,-0.154,-0.201,0.018000000000000002,0.013999999999999999,-0.033,0.476
82,-0.008,0.019,0.01,0.004,0.085,0.019,0.022,0.008,0.008,-0.0,-0.021,-0.012,-0.007,0.027000000000000003,0.021,0.023,0.036000000000000004,0.0,0.0,-0.045,0.01,0.015,0.72
82,0.003,-0.013999999999999999,-0.011000000000000001,-0.001,-0.19399999999999998,-0.10099999999999999,-0.04,0.027999999999999997,0.013999999999999999,0.006,0.085,0.019,0.047,-0.027999999999999997,0.012,0.0,-0.10300000000000001,0.005,-0.037000000000000005,0.075,0.105,-0.009000000000000001,0.646
82,-0.006,0.046,0.021,0.011,0.534,0.37799999999999995,0.039,-0.025,-0.049,0.012,-0.107,-0.09300000000000001,-0.011,-0.075,-0.064,-0.067,0.10300000000000001,0.006999999999999999,-0.013999999999999999,-0.17800000000000002,-0.076,0.038,0.78
82,0.009000000000000001,0.038,0.017,0.009,0.09,0.08800000000000001,0.001,0.031,0.004,0.012,0.017,0.037000000000000005,-0.014,0.039,0.006,0.016,0.05,-0.126,-0.128,-0.087,-0.016,0.036000000000000004,0.659
82,-0.006,0.017,0.006,0.005,-0.375,-0.349,-0.014,0.114,0.11599999999999999,-0.001,0.001,0.026000000000000002,-0.019,0.14800000000000002,0.019,0.053,0.051,0.185,0.218,0.124,-0.048,-0.013999999999999999,0.659
82,0.011000000000000001,-0.051,-0.004,-0.021,-0.06,-0.013999999999999999,-0.018,-0.049,-0.0,-0.023,0.055,0.034,0.015,0.09,0.033,0.048,-0.08199999999999999,-0.142,-0.172,-0.075,0.031,-0.031,0.61
82,-0.009000000000000001,-0.025,-0.084,0.027,0.45799999999999996,0.35700000000000004,0.026,-0.1,-0.16899999999999998,0.037,-0.08199999999999999,-0.125,0.035,-0.26899999999999996,-0.099,-0.149,0.083,0.057,0.264,-0.085,-0.133,-0.013000000000000001,0.39
82,0.001,-0.040999999999999995,0.037000000000000005,-0.035,-0.114,-0.091,-0.009,-0.028999999999999998,0.066,-0.043,-0.177,-0.109,-0.06,0.20800000000000002,0.068,0.106,-0.046,-0.078,0.637,0.012,-0.027999999999999997,-0.076,0.512
82,0.6459999999999999,0.8340000000000001,0.7859999999999999,0.012,0.77,0.8009999999999999,-0.006,0.845,0.782,0.016,1.0590000000000002,0.953,0.04,0.516,0.741,0.6729999999999999,0.6920000000000001,0.498,0.312,0.63,0.7659999999999999,0.878,0.58
