G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.151,-0.172,-0.16899999999999998,-0.002,-0.158,-0.12300000000000001,-0.015,-0.18,-0.205,0.017,-0.19899999999999998,-0.17600000000000002,-0.022,0.037000000000000005,-0.13,-0.099,-0.162,-0.024,-0.14300000000000002,-0.14800000000000002,-0.183,-0.174,0.705
72,0.1,0.184,0.10800000000000001,0.03,0.546,0.373,0.042,0.051,-0.038,0.046,-0.017,0.006,-0.019,-0.113,0.18100000000000002,0.11199999999999999,0.19699999999999998,0.099,0.14400000000000002,0.115,0.17,0.184,0.542
65,-0.20600000000000002,-0.305,-0.222,-0.053,-0.376,-0.28,-0.051,-0.27399999999999997,-0.185,-0.061,-0.09300000000000001,-0.096,0.003,-0.188,-0.285,-0.265,-0.311,-0.146,-0.43,-0.171,-0.258,-0.284,0.231
82,0.004,0.028999999999999998,0.054000000000000006,-0.012,0.174,0.192,-0.006,-0.022000000000000002,-0.016,-0.004,-0.015,0.002,-0.015,0.153,0.039,0.061,0.005,-0.047,-0.142,-0.077,0.09300000000000001,0.037000000000000005,0.695
82,-0.003,-0.006999999999999999,-0.022000000000000002,0.008,-0.057,-0.075,0.007,0.013000000000000001,0.006999999999999999,0.003,-0.067,-0.098,0.028,-0.10300000000000001,0.001,-0.021,-0.036000000000000004,-0.16399999999999998,0.10300000000000001,0.046,0.013999999999999999,-0.021,0.707
82,-0.005,0.012,-0.003,0.007,-0.08800000000000001,-0.012,-0.032,0.057,0.002,0.029,0.067,0.034,0.024,-0.055999999999999994,-0.033,-0.038,0.05,0.139,0.114,-0.027000000000000003,-0.068,0.009000000000000001,0.817
82,0.008,0.023,0.003,0.01,0.22,0.16899999999999998,0.017,-0.046,-0.07200000000000001,0.015,0.04,0.047,-0.005,-0.043,0.055999999999999994,0.033,0.055999999999999994,-0.096,0.004,0.051,0.045,0.045,0.89
82,-0.005,0.054000000000000006,0.019,0.016,0.141,0.08800000000000001,0.018,0.026000000000000002,-0.01,0.018,0.008,-0.013000000000000001,0.016,-0.048,-0.002,-0.013000000000000001,0.17600000000000002,0.187,0.21899999999999997,-0.05,-0.087,0.055,0.817
82,0.001,0.034,0.024,0.004,0.17600000000000002,0.248,-0.023,-0.004,-0.046,0.021,-0.054000000000000006,-0.006999999999999999,-0.037,0.012,0.006,0.008,0.036000000000000004,0.132,0.17600000000000002,0.009000000000000001,0.018000000000000002,0.03,0.622
82,0.244,0.258,0.257,0.0,0.256,0.20800000000000002,0.015,0.258,0.273,-0.006,0.449,0.41200000000000003,0.02,0.38299999999999995,0.439,0.425,0.255,0.07400000000000001,-0.044000000000000004,0.35100000000000003,0.243,0.28600000000000003,0.573
66,-0.19699999999999998,-0.23399999999999999,-0.228,-0.004,-0.235,-0.228,-0.004,-0.23399999999999999,-0.228,-0.004,-0.263,-0.271,0.009,-0.33,-0.17800000000000002,-0.222,-0.204,-0.284,-0.10800000000000001,-0.23600000000000002,-0.21899999999999997,-0.239,0.348
82,0.005,-0.023,-0.006999999999999999,-0.008,0.08199999999999999,0.037000000000000005,0.016,-0.048,-0.02,-0.014,-0.209,-0.187,-0.021,0.268,-0.011000000000000001,0.055999999999999994,0.004,-0.032,0.19399999999999998,-0.005,-0.042,-0.05,0.439
82,-0.008,0.03,0.006,0.011,0.151,0.14400000000000002,0.002,0.006,-0.031,0.018,-0.138,-0.128,-0.009,-0.21,-0.038,-0.086,0.075,0.193,-0.355,0.002,0.024,0.002,0.317
82,0.005,-0.051,-0.047,-0.002,-0.27699999999999997,-0.325,0.025,0.015,0.069,-0.026,0.231,0.17,0.039,-0.08800000000000001,-0.002,-0.027000000000000003,-0.067,-0.142,0.39799999999999996,0.11,-0.018000000000000002,-0.022000000000000002,0.354
82,0.001,0.044000000000000004,0.051,-0.003,0.087,0.111,-0.008,0.032,0.027999999999999997,0.002,0.015,-0.033,0.035,0.11199999999999999,0.016,0.043,-0.06,-0.008,-0.191,-0.17300000000000001,-0.03,0.042,0.585
82,-0.004,0.11,0.039,0.03,0.12,0.07400000000000001,0.015,0.107,0.026000000000000002,0.037,-0.037000000000000005,-0.035,-0.001,-0.040999999999999995,-0.012,-0.02,0.151,0.242,0.305,0.132,-0.004,0.08199999999999999,0.512
82,-0.004,-0.03,-0.036000000000000004,0.003,0.002,0.033,-0.011,-0.038,-0.059000000000000004,0.01,0.114,0.12,-0.004,-0.083,0.02,-0.011000000000000001,-0.065,-0.059000000000000004,-0.15,0.04,0.059000000000000004,-0.002,0.415
