G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.166,-0.17800000000000002,-0.19,0.006,-0.19399999999999998,-0.204,0.004,-0.17,-0.17800000000000002,0.005,-0.111,-0.075,-0.029,-0.13,-0.18600000000000003,-0.174,-0.18600000000000003,-0.2,-0.247,-0.052000000000000005,-0.133,-0.17,0.25
72,-0.004,-0.037000000000000005,-0.021,-0.007,-0.11900000000000001,-0.10400000000000001,-0.006,0.013000000000000001,0.061,-0.025,-0.19899999999999998,-0.14400000000000002,-0.051,-0.047,-0.035,-0.038,0.091,-0.129,-0.027000000000000003,0.003,-0.102,-0.077,0.236
72,-0.124,-0.08800000000000001,-0.091,0.002,-0.149,-0.124,-0.01,-0.045,-0.055,0.006,-0.062,-0.062,0.0,-0.158,-0.049,-0.076,-0.106,-0.10400000000000001,-0.084,-0.034,-0.131,-0.092,0.611
82,0.004,0.013999999999999999,0.037000000000000005,-0.01,0.053,0.07200000000000001,-0.006,-0.012,0.002,-0.008,-0.017,-0.028999999999999998,0.01,0.131,-0.075,-0.032,-0.015,0.001,0.033,-0.036000000000000004,0.129,0.013999999999999999,0.646
82,-0.001,-0.04,-0.034,-0.003,0.064,0.05,0.005,-0.09699999999999999,-0.107,0.006,-0.035,-0.053,0.015,-0.172,0.028999999999999998,-0.02,-0.146,0.043,0.114,-0.085,-0.023,-0.026000000000000002,0.793
82,-0.003,0.068,0.045,0.01,0.345,0.305,0.011,-0.042,-0.10800000000000001,0.039,-0.002,-0.096,0.072,-0.040999999999999995,0.055999999999999994,0.03,0.13699999999999998,-0.184,-0.18100000000000002,-0.051,-0.087,0.083,0.671
82,0.001,0.02,0.002,0.008,-0.059000000000000004,-0.055,-0.002,0.055999999999999994,0.039,0.008,0.096,0.128,-0.021,-0.028999999999999998,-0.009000000000000001,-0.013999999999999999,0.001,0.057,0.057,-0.043,-0.006999999999999999,0.025,0.5
82,-0.001,-0.027999999999999997,0.035,-0.028,0.198,0.23,-0.009,-0.10300000000000001,-0.061,-0.023,-0.159,-0.163,0.003,0.040999999999999995,-0.062,-0.036000000000000004,0.037000000000000005,0.251,-0.11699999999999999,0.033,0.076,-0.035,0.683
82,0.003,-0.002,-0.026000000000000002,0.012,-0.10099999999999999,-0.08,-0.008,0.036000000000000004,0.002,0.017,0.153,0.221,-0.042,0.012,0.055,0.044000000000000004,-0.077,-0.085,0.284,-0.019,0.008,0.016,0.659
82,0.231,0.255,0.22399999999999998,0.012,0.8140000000000001,0.7809999999999999,0.007,0.122,0.047,0.034,0.545,0.604,-0.029,0.182,0.317,0.28,0.355,0.369,0.125,0.41200000000000003,0.23399999999999999,0.342,0.549
66,-0.192,-0.215,-0.205,-0.005,-0.294,-0.278,-0.008,-0.193,-0.179,-0.008,-0.39,-0.375,-0.018,-0.201,-0.21,-0.207,-0.282,-0.146,-0.14,-0.14,-0.179,-0.255,0.515
82,-0.001,0.025,0.008,0.008,0.048,0.003,0.016,0.018000000000000002,0.009000000000000001,0.004,0.069,0.03,0.029,-0.009000000000000001,0.032,0.02,0.092,-0.003,0.16699999999999998,-0.066,-0.040999999999999995,0.035,0.524
82,0.005,0.046,0.061,-0.007,0.04,0.11,-0.024,0.047,0.044000000000000004,0.001,0.02,0.063,-0.033,0.126,-0.07200000000000001,-0.023,0.077,0.064,-0.10400000000000001,0.026000000000000002,0.102,0.04,0.512
82,0.004,-0.015,-0.026000000000000002,0.005,0.065,-0.03,0.033,-0.034,-0.024,-0.005,0.141,0.03,0.078,-0.14,0.001,-0.037000000000000005,-0.054000000000000006,-0.084,-0.155,0.028999999999999998,-0.035,0.018000000000000002,0.646
82,-0.006,0.033,0.026000000000000002,0.003,-0.17300000000000001,-0.098,-0.031,0.1,0.077,0.01,-0.065,-0.03,-0.027,0.139,-0.005,0.03,0.031,0.026000000000000002,0.24600000000000002,-0.032,-0.059000000000000004,-0.003,0.671
82,0.001,0.073,0.044000000000000004,0.012,0.503,0.33899999999999997,0.041,-0.017,-0.042,0.012,-0.044000000000000004,-0.037000000000000005,-0.005,0.037000000000000005,0.042,0.040999999999999995,0.078,-0.009000000000000001,0.053,-0.026000000000000002,-0.08199999999999999,0.077,0.634
82,-0.001,-0.048,-0.026000000000000002,-0.01,-0.152,-0.07,-0.032,-0.024,-0.012,-0.005,-0.032,-0.003,-0.022,-0.028999999999999998,-0.013999999999999999,-0.018000000000000002,-0.08800000000000001,0.044000000000000004,-0.153,0.051,0.031,-0.052000000000000005,0.415
82,-0.004,0.039,0.036000000000000004,0.001,0.07400000000000001,0.08199999999999999,-0.003,0.031,0.023,0.004,0.131,0.12,0.008,0.032,-0.017,-0.005,0.098,0.005,-0.147,-0.17300000000000001,0.026000000000000002,0.059000000000000004,0.622
82,0.0,-0.036000000000000004,-0.040999999999999995,0.002,0.17300000000000001,0.11,0.02,-0.07400000000000001,-0.078,0.002,-0.126,-0.132,0.005,-0.17300000000000001,0.032,-0.026000000000000002,0.048,-0.057,-0.10099999999999999,0.076,0.1,-0.042,0.549
82,-0.003,0.001,-0.025,0.012,-0.115,-0.14400000000000002,0.011,0.026000000000000002,0.009000000000000001,0.008,0.11900000000000001,0.08,0.027,-0.001,0.063,0.044000000000000004,0.016,0.106,0.10800000000000001,0.10400000000000001,0.085,0.015,0.524
82,0.008,-0.036000000000000004,0.021,-0.025,-0.016,0.048,-0.022,-0.04,0.013000000000000001,-0.025,-0.114,-0.09300000000000001,-0.018,0.115,-0.045,-0.002,-0.081,-0.085,0.243,-0.04,-0.109,-0.05,0.549
82,0.0,-0.019,-0.026000000000000002,0.003,-0.133,-0.131,-0.001,0.008,0.009000000000000001,-0.0,0.006,-0.027999999999999997,0.025,-0.08800000000000001,-0.024,-0.042,-0.091,-0.042,-0.183,-0.155,-0.004,-0.023,0.415
82,0.642,0.71,0.755,-0.012,0.7290000000000001,0.778,-0.01,0.705,0.747,-0.012,0.818,0.807,0.005,0.8809999999999999,0.679,0.731,0.677,0.588,0.685,0.755,0.732,0.731,0.62
50,-0.391,-0.40399999999999997,-0.41700000000000004,0.01,-0.414,-0.45299999999999996,0.025,-0.402,-0.405,0.002,-0.47100000000000003,-0.44,-0.042,-0.457,-0.345,-0.37799999999999995,-0.41200000000000003,-0.43700000000000006,-0.11599999999999999,-0.374,-0.419,-0.418,0.5
82,-0.001,-0.03,0.004,-0.016,-0.146,-0.092,-0.022,0.003,0.043,-0.019,0.087,0.064,0.016,0.065,-0.084,-0.044000000000000004,-0.106,0.001,-0.153,-0.049,0.027000000000000003,-0.018000000000000002,0.695
82,0.003,-0.013000000000000001,-0.023,0.005,0.053,0.044000000000000004,0.003,-0.031,-0.048,0.009,-0.067,-0.054000000000000006,-0.01,0.009000000000000001,0.045,0.035,0.016,0.062,-0.271,0.096,-0.08199999999999999,-0.019,0.585
82,0.004,-0.026000000000000002,0.009000000000000001,-0.016,-0.013999999999999999,0.002,-0.006,-0.028999999999999998,0.011000000000000001,-0.021,0.055,0.033,0.016,0.044000000000000004,0.006,0.016,-0.038,-0.105,-0.07400000000000001,-0.057999999999999996,0.023,-0.01,0.573
82,-0.003,-0.012,-0.023,0.005,0.506,0.36700000000000005,0.034,-0.092,-0.115,0.013,0.039,0.031,0.006,-0.05,-0.068,-0.063,-0.013000000000000001,0.006,0.06,-0.012,0.040999999999999995,0.024,0.707
82,0.0,-0.025,-0.002,-0.012,0.109,0.198,-0.027,-0.043,-0.039,-0.002,-0.073,-0.054000000000000006,-0.015,-0.06,0.034,0.008,-0.013000000000000001,0.051,-0.107,0.033,-0.031,-0.027999999999999997,0.671
82,-0.005,0.002,-0.022000000000000002,0.012,0.17600000000000002,0.11900000000000001,0.018,-0.017,-0.044000000000000004,0.014,0.062,0.035,0.02,-0.083,0.040999999999999995,0.003,0.027999999999999997,0.04,-0.049,-0.06,-0.04,0.02,0.512
82,0.001,-0.038,-0.054000000000000006,0.008,0.040999999999999995,-0.03,0.024,-0.046,-0.057999999999999996,0.006,-0.086,-0.08199999999999999,-0.003,-0.158,-0.03,-0.073,0.08,-0.17600000000000002,0.396,-0.017,-0.055999999999999994,-0.044000000000000004,0.634
82,0.003,-0.023,0.005,-0.013,1.065,1.014,0.008,-0.073,-0.068,-0.003,-0.001,-0.03,0.021,0.048,-0.049,-0.019,-0.131,-0.016,-0.258,-0.073,-0.031,0.0,0.5
82,-0.003,0.021,0.008,0.006,-0.067,-0.061,-0.002,0.025,0.013000000000000001,0.006,-0.145,-0.10300000000000001,-0.035,0.005,0.033,0.024,0.08800000000000001,0.025,0.1,-0.036000000000000004,-0.045,-0.016,0.549
82,0.009000000000000001,-0.015,-0.021,0.003,1.3769999999999998,0.797,0.076,-0.044000000000000004,-0.055,0.006,-0.013999999999999999,0.018000000000000002,-0.024,-0.023,0.009000000000000001,-0.001,0.040999999999999995,0.10800000000000001,-0.002,0.14800000000000002,0.086,-0.004,0.561
82,-0.005,0.0,0.013000000000000001,-0.006,-0.225,-0.102,-0.038,0.006,0.018000000000000002,-0.006,0.109,0.054000000000000006,0.038,0.040999999999999995,0.02,0.027000000000000003,-0.131,0.08900000000000001,-0.095,-0.012,-0.055,0.019,0.512
82,0.001,-0.078,-0.053,-0.013,0.047,0.045,0.0,-0.081,-0.057,-0.013,-0.017,-0.032,0.012,-0.096,0.019,-0.021,-0.039,-0.122,0.006999999999999999,0.006999999999999999,-0.009000000000000001,-0.065,0.622
82,-0.004,0.003,0.031,-0.014,1.073,0.667,0.054,-0.009000000000000001,0.015,-0.012,0.12300000000000001,0.077,0.03,-0.006999999999999999,0.016,0.008,0.035,0.091,-0.077,-0.14400000000000002,-0.021,0.028999999999999998,0.585
82,0.004,0.005,-0.012,0.009,0.36700000000000005,0.20800000000000002,0.026,0.002,-0.017,0.01,-0.001,0.057,-0.041,0.10400000000000001,-0.035,0.01,0.016,0.1,0.159,0.027999999999999997,-0.12300000000000001,0.005,0.354
82,0.001,0.11699999999999999,0.012,0.047,-0.552,-0.43200000000000005,-0.052,0.131,0.027999999999999997,0.045,0.129,0.106,0.015,-0.005,0.099,0.063,0.141,-0.039,0.22,-0.006,0.087,0.114,0.171
82,-0.003,-0.047,0.011000000000000001,-0.027,0.34,0.54,-0.037,-0.053,-0.002,-0.025,-0.136,-0.131,-0.004,-0.14,-0.011000000000000001,-0.06,-0.023,-0.003,-0.016,0.18899999999999997,0.139,-0.062,0.561
82,-0.001,-0.019,0.004,-0.011,1.381,0.49200000000000005,0.106,-0.027999999999999997,-0.004,-0.012,-0.052000000000000005,0.001,-0.041,0.154,-0.027000000000000003,0.035,-0.057999999999999996,-0.081,0.1,-0.09,-0.016,-0.022000000000000002,0.5
82,-0.006,-0.006999999999999999,-0.021,0.007,-0.7979999999999999,-0.6890000000000001,-0.096,0.016,0.013999999999999999,0.001,-0.04,-0.044000000000000004,0.004,-0.128,0.059000000000000004,-0.013000000000000001,-0.023,-0.098,0.046,-0.073,-0.013000000000000001,-0.023,0.573
