G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.124,-0.17300000000000001,-0.146,-0.015,-0.154,-0.094,-0.024,-0.18100000000000002,-0.17800000000000002,-0.002,-0.145,-0.106,-0.034,0.068,-0.126,-0.085,-0.214,-0.28800000000000003,-0.237,-0.067,-0.11599999999999999,-0.16699999999999998,0.333
72,-0.009000000000000001,0.013000000000000001,0.017,-0.002,0.19699999999999998,0.195,0.0,-0.045,-0.066,0.011,0.079,0.07200000000000001,0.006,0.019,-0.026000000000000002,-0.017,0.045,0.125,0.223,0.008,0.006,0.039,0.472
73,-0.106,-0.09300000000000001,-0.095,0.001,-0.046,-0.017,-0.011,-0.107,-0.127,0.012,-0.156,-0.193,0.035,-0.165,-0.1,-0.114,-0.113,-0.23800000000000002,-0.069,-0.138,-0.09300000000000001,-0.098,0.616
82,-0.003,0.013000000000000001,0.006999999999999999,0.003,0.051,0.035,0.006,0.003,-0.004,0.003,0.06,0.098,-0.027,-0.033,0.031,0.016,0.17,-0.011000000000000001,0.188,0.03,0.032,0.023,0.585
82,-0.005,0.038,0.022000000000000002,0.008,0.045,0.066,-0.007,0.037000000000000005,0.005,0.015,-0.165,-0.131,-0.031,0.062,-0.006999999999999999,0.008,-0.013999999999999999,0.078,-0.16899999999999998,-0.036000000000000004,-0.033,0.004,0.585
82,-0.001,0.025,-0.008,0.015,0.069,-0.002,0.025,0.013000000000000001,-0.01,0.011,0.026000000000000002,-0.033,0.046,-0.124,-0.027999999999999997,-0.05,0.059000000000000004,-0.098,0.046,-0.073,-0.027000000000000003,0.028999999999999998,0.512
82,0.001,0.048,0.024,0.01,0.083,0.086,-0.001,0.039,0.002,0.017,0.042,0.03,0.008,-0.011000000000000001,-0.015,-0.013999999999999999,-0.009000000000000001,0.469,0.043,0.063,-0.057999999999999996,0.05,0.549
82,0.004,0.017,0.038,-0.009,0.113,0.128,-0.005,-0.005,0.011000000000000001,-0.008,-0.075,-0.047,-0.023,0.026000000000000002,-0.003,0.004,0.064,-0.08199999999999999,-0.159,-0.073,0.04,0.006,0.463
82,0.01,0.037000000000000005,0.006999999999999999,0.013,-0.009000000000000001,-0.036000000000000004,0.01,0.048,0.021,0.012,0.039,-0.004,0.032,-0.2,0.06,-0.013000000000000001,0.004,-0.052000000000000005,-0.131,0.008,0.032,0.034,0.683
81,0.225,0.209,0.214,-0.002,0.41600000000000004,0.503,-0.021,0.16699999999999998,0.14300000000000002,0.01,0.059000000000000004,0.111,-0.036,0.263,0.29,0.282,0.34,0.109,0.43700000000000006,0.326,0.135,0.19,0.605
66,-0.192,-0.21600000000000003,-0.20800000000000002,-0.005,-0.33,-0.35600000000000004,0.015,-0.18899999999999997,-0.16,-0.016,-0.153,-0.153,0.0,-0.096,-0.221,-0.18899999999999997,-0.23800000000000002,-0.10400000000000001,-0.217,-0.267,-0.198,-0.212,0.636
82,0.004,-0.006,-0.005,-0.0,-0.11199999999999999,-0.128,0.006,0.024,0.042,-0.008,0.018000000000000002,0.008,0.008,0.16399999999999998,0.015,0.049,-0.069,-0.002,0.039,0.024,-0.036000000000000004,-0.01,0.451
82,-0.006,-0.062,-0.036000000000000004,-0.012,0.011000000000000001,0.099,-0.03,-0.081,-0.08,-0.0,0.026000000000000002,0.068,-0.032,-0.15,-0.016,-0.051,-0.025,0.021,0.012,0.036000000000000004,-0.025,-0.040999999999999995,0.39
82,0.004,0.038,0.012,0.011,-0.136,-0.146,0.004,0.094,0.077,0.008,-0.027000000000000003,-0.07400000000000001,0.039,0.022000000000000002,0.011000000000000001,0.013999999999999999,-0.048,-0.08,0.053,-0.038,-0.013999999999999999,0.011000000000000001,0.439
82,-0.001,0.08,0.066,0.006,0.57,0.455,0.027,-0.018000000000000002,-0.039,0.01,-0.028999999999999998,-0.039,0.008,-0.087,0.079,0.031,0.11,0.04,-0.078,-0.07400000000000001,0.005,0.08800000000000001,0.439
82,0.003,0.031,0.046,-0.006,-0.10300000000000001,-0.096,-0.003,0.063,0.092,-0.013,0.015,-0.015,0.023,0.102,-0.046,-0.008,0.03,0.002,0.09300000000000001,0.065,0.05,0.018000000000000002,0.427
82,-0.009000000000000001,0.044000000000000004,0.017,0.012,-0.011000000000000001,-0.025,0.005,0.057999999999999996,0.031,0.012,-0.09,-0.022000000000000002,-0.055,0.035,0.057999999999999996,0.052000000000000005,0.095,-0.027999999999999997,0.146,0.069,-0.037000000000000005,0.01,0.5
