G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.122,-0.16899999999999998,-0.12,-0.027,-0.242,-0.14,-0.049,-0.132,-0.107,-0.015,-0.187,-0.125,-0.06,-0.171,-0.11199999999999999,-0.125,-0.155,-0.067,0.01,-0.053,-0.14800000000000002,-0.18100000000000002,0.508
72,-0.006,0.006,-0.027999999999999997,0.016,0.147,0.037000000000000005,0.04,-0.055,-0.067,0.007,-0.223,-0.268,0.048,-0.11599999999999999,-0.061,-0.073,0.027999999999999997,-0.004,-0.127,-0.096,-0.132,-0.02,0.653
72,-0.124,-0.11599999999999999,-0.105,-0.006,0.09,0.138,-0.016,-0.182,-0.207,0.016,-0.192,-0.191,-0.001,-0.036000000000000004,-0.09300000000000001,-0.081,-0.133,-0.08900000000000001,-0.122,-0.11900000000000001,-0.16699999999999998,-0.113,0.681
82,0.006,0.025,0.025,-0.0,0.057,-0.036000000000000004,0.034,0.015,0.052000000000000005,-0.019,0.191,0.11699999999999999,0.049,-0.043,0.061,0.037000000000000005,0.075,-0.107,0.032,-0.009000000000000001,0.168,0.057,0.585
82,-0.003,0.019,0.027000000000000003,-0.004,-0.076,-0.022000000000000002,-0.021,0.052000000000000005,0.051,0.0,-0.019,-0.016,-0.003,0.127,-0.009000000000000001,0.02,-0.009000000000000001,0.026000000000000002,0.075,0.134,0.006999999999999999,0.003,0.512
82,-0.004,0.032,0.009000000000000001,0.011,0.055,0.025,0.011,0.024,0.001,0.012,0.064,-0.011000000000000001,0.053,0.024,0.023,0.023,-0.013000000000000001,-0.13699999999999998,-0.24600000000000002,-0.001,-0.069,0.04,0.622
82,0.005,-0.027000000000000003,-0.01,-0.008,-0.036000000000000004,-0.005,-0.012,-0.024,-0.013000000000000001,-0.006,0.015,0.040999999999999995,-0.018,-0.08,0.006,-0.013000000000000001,-0.078,0.10800000000000001,0.125,0.05,-0.002,-0.021,0.646
82,-0.001,0.006,0.01,-0.002,0.193,0.12,0.023,-0.045,-0.035,-0.006,-0.157,-0.133,-0.02,-0.086,0.016,-0.009000000000000001,0.006999999999999999,-0.09,0.03,-0.109,-0.01,-0.011000000000000001,0.683
82,0.001,0.015,0.023,-0.004,0.105,0.122,-0.005,-0.006999999999999999,-0.013000000000000001,0.003,0.297,0.263,0.019,-0.085,0.078,0.033,0.03,-0.10300000000000001,-0.139,-0.051,0.03,0.068,0.695
82,0.23600000000000002,0.29600000000000004,0.231,0.024,0.22,0.21600000000000003,0.001,0.316,0.237,0.031,0.28300000000000003,0.228,0.031,0.172,0.27399999999999997,0.244,0.414,0.41,0.46299999999999997,0.36200000000000004,0.22699999999999998,0.28800000000000003,0.683
66,-0.196,-0.191,-0.18600000000000003,-0.003,0.002,-0.051,0.019,-0.231,-0.22699999999999998,-0.003,-0.32299999999999995,-0.297,-0.027,-0.162,-0.223,-0.20600000000000002,-0.23600000000000002,-0.05,-0.21600000000000003,-0.345,-0.193,-0.204,0.606
82,0.008,0.004,-0.001,0.002,0.062,0.043,0.006,-0.006999999999999999,-0.013000000000000001,0.003,0.135,0.171,-0.023,0.03,-0.0,0.008,0.002,0.1,-0.13699999999999998,0.045,0.096,0.031,0.39
82,-0.009000000000000001,0.016,-0.013999999999999999,0.013,-0.09699999999999999,-0.037000000000000005,-0.022,0.040999999999999995,-0.008,0.023,0.006,0.015,-0.007,0.042,0.053,0.05,0.05,-0.07,-0.033,0.052000000000000005,-0.042,0.006,0.354
82,0.004,0.048,0.039,0.004,0.529,0.402,0.029,-0.02,-0.034,0.007,-0.204,-0.156,-0.045,0.11199999999999999,-0.046,-0.006999999999999999,-0.005,0.027000000000000003,0.21100000000000002,0.035,-0.054000000000000006,0.013999999999999999,0.232
82,0.004,-0.021,0.02,-0.018,0.115,0.195,-0.023,-0.037000000000000005,-0.009000000000000001,-0.014,-0.038,-0.03,-0.007,-0.099,0.003,-0.024,-0.017,-0.065,-0.157,-0.048,-0.061,-0.019,0.28
82,-0.004,-0.038,-0.019,-0.009,0.083,0.071,0.004,-0.051,-0.033,-0.009,0.044000000000000004,0.048,-0.003,0.07200000000000001,-0.081,-0.045,0.032,0.11599999999999999,-0.062,0.046,-0.006999999999999999,-0.016,0.488
