G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.162,-0.154,-0.14,-0.008,-0.107,-0.084,-0.009,-0.171,-0.172,0.0,-0.221,-0.204,-0.015,-0.17,-0.155,-0.158,-0.19,-0.146,-0.114,-0.19,-0.128,-0.159,0.45
72,0.021,-0.027000000000000003,-0.011000000000000001,-0.007,0.018000000000000002,0.003,0.005,-0.043,-0.019,-0.013,-0.015,-0.027999999999999997,0.01,-0.08199999999999999,0.0,-0.019,-0.016,-0.08199999999999999,-0.175,0.017,-0.064,-0.021,0.583
71,-0.136,-0.139,-0.156,0.009,-0.077,-0.11800000000000001,0.015,-0.159,-0.175,0.011,-0.057,-0.095,0.03,-0.09300000000000001,-0.166,-0.15,-0.14,-0.01,0.064,-0.161,-0.135,-0.121,0.732
82,-0.006,0.046,0.024,0.01,0.03,0.066,-0.011,0.051,0.004,0.024,-0.021,0.0,-0.015,-0.047,0.02,0.004,0.075,-0.024,0.134,-0.008,-0.02,0.034,0.451
82,0.01,0.035,0.012,0.011,0.126,0.13,-0.001,0.009000000000000001,-0.038,0.024,-0.024,0.031,-0.04,-0.061,0.11,0.066,0.136,-0.061,0.212,0.042,0.022000000000000002,0.033,0.427
82,-0.001,0.11900000000000001,0.03,0.036,0.142,0.047,0.029,0.113,0.023,0.04,-0.11699999999999999,-0.086,-0.027,0.063,-0.003,0.013000000000000001,0.161,0.13699999999999998,-0.05,0.106,0.022000000000000002,0.07400000000000001,0.317
82,-0.01,-0.057,-0.009000000000000001,-0.021,0.201,0.304,-0.027,-0.111,-0.098,-0.007,0.105,0.048,0.04,-0.078,-0.001,-0.021,-0.138,0.026000000000000002,-0.079,0.035,-0.045,-0.011000000000000001,0.207
82,0.011000000000000001,-0.027000000000000003,0.006,-0.015,-0.313,-0.239,-0.037,0.066,0.106,-0.017,0.031,0.054000000000000006,-0.017,0.278,0.01,0.07,-0.145,-0.054000000000000006,-0.179,-0.12300000000000001,0.07,-0.044000000000000004,0.256
82,-0.003,0.032,0.051,-0.008,0.083,0.008,0.026,0.017,0.07,-0.025,-0.122,-0.198,0.065,-0.209,-0.040999999999999995,-0.084,0.10300000000000001,0.061,0.04,0.006,0.109,0.006999999999999999,0.329
82,0.23,0.252,0.248,0.001,0.975,0.812,0.029,0.125,0.099,0.012,0.318,0.441,-0.064,0.179,0.214,0.205,0.22399999999999998,0.47700000000000004,0.222,0.23600000000000002,0.32299999999999995,0.305,0.549
66,-0.19,-0.223,-0.213,-0.006,-0.309,-0.252,-0.027,-0.20600000000000002,-0.20199999999999999,-0.003,-0.22,-0.19699999999999998,-0.022,-0.192,-0.14,-0.154,-0.175,-0.35200000000000004,-0.168,-0.071,-0.287,-0.228,0.621
82,0.0,-0.005,-0.017,0.006,-0.015,-0.048,0.012,-0.003,-0.008,0.002,0.013999999999999999,-0.003,0.013,0.016,-0.017,-0.008,0.040999999999999995,-0.016,0.055,-0.021,-0.023,-0.002,0.695
82,0.003,-0.049,-0.015,-0.016,-0.027000000000000003,0.03,-0.02,-0.054000000000000006,-0.027999999999999997,-0.013,-0.055,-0.049,-0.005,-0.040999999999999995,0.028999999999999998,0.009000000000000001,-0.09300000000000001,-0.14800000000000002,-0.048,-0.006,-0.062,-0.049,0.695
82,0.0,0.018000000000000002,0.024,-0.003,-0.174,-0.134,-0.017,0.067,0.079,-0.005,-0.08,-0.081,0.001,0.13,-0.05,-0.005,-0.047,0.098,-0.040999999999999995,-0.046,0.004,-0.015,0.793
82,-0.012,0.047,0.023,0.011,0.08900000000000001,0.016,0.025,0.036000000000000004,0.026000000000000002,0.005,0.052000000000000005,0.022000000000000002,0.022,0.013999999999999999,0.091,0.071,0.083,0.09,0.04,-0.092,-0.105,0.051,0.695
82,0.009000000000000001,0.037000000000000005,0.009000000000000001,0.013,0.10099999999999999,0.08900000000000001,0.004,0.023,-0.017,0.019,0.026000000000000002,0.023,0.002,-0.087,0.003,-0.022000000000000002,0.067,-0.045,0.203,0.114,-0.003,0.039,0.512
82,0.004,0.034,-0.003,0.016,-0.14300000000000002,-0.127,-0.007,0.084,0.043,0.018,-0.026000000000000002,0.016,-0.032,-0.055999999999999994,-0.009000000000000001,-0.023,0.037000000000000005,0.23600000000000002,0.017,-0.027999999999999997,0.055999999999999994,0.006999999999999999,0.549
82,-0.004,-0.044000000000000004,-0.006999999999999999,-0.017,0.764,0.626,0.028,-0.155,-0.134,-0.011,0.018000000000000002,-0.091,0.084,0.027000000000000003,-0.009000000000000001,0.001,-0.142,-0.255,-0.092,0.039,0.036000000000000004,0.005,0.415
82,-0.004,-0.02,-0.026000000000000002,0.003,-0.249,-0.184,-0.028,0.022000000000000002,0.013000000000000001,0.004,0.044000000000000004,0.105,-0.04,-0.071,-0.006999999999999999,-0.026000000000000002,0.02,0.067,-0.19399999999999998,-0.05,-0.076,-0.022000000000000002,0.683
82,0.008,-0.019,0.002,-0.01,-0.047,-0.05,0.001,-0.013000000000000001,0.016,-0.014,0.046,-0.004,0.035,0.055,-0.02,0.001,0.013999999999999999,0.022000000000000002,-0.017,0.146,0.027999999999999997,-0.009000000000000001,0.61
82,-0.006,0.013000000000000001,0.023,-0.005,0.162,0.129,0.01,-0.011000000000000001,-0.002,-0.005,-0.063,-0.084,0.016,-0.057999999999999996,0.009000000000000001,-0.011000000000000001,-0.003,0.10800000000000001,-0.024,-0.122,-0.026000000000000002,0.006,0.683
82,0.005,-0.009000000000000001,-0.022000000000000002,0.006,0.276,0.218,0.016,-0.044000000000000004,-0.065,0.011,-0.033,-0.015,-0.013,-0.028999999999999998,-0.057,-0.049,-0.017,-0.08,-0.08199999999999999,0.036000000000000004,0.017,-0.002,0.817
82,0.644,0.7040000000000001,0.737,-0.009,0.42700000000000005,0.528,-0.023,0.746,0.7809999999999999,-0.01,0.606,0.5760000000000001,0.013,0.805,0.848,0.835,0.754,0.5760000000000001,0.861,0.516,0.496,0.67,0.62
50,-0.392,-0.415,-0.39799999999999996,-0.013,-0.515,-0.516,0.001,-0.396,-0.365,-0.025,-0.449,-0.452,0.004,-0.426,-0.4,-0.408,-0.455,-0.47,-0.484,-0.4,-0.33799999999999997,-0.428,0.744
82,-0.005,0.042,-0.016,0.027,-0.098,-0.057,-0.016,0.07400000000000001,-0.004,0.038,0.155,0.177,-0.013,-0.012,0.024,0.013000000000000001,0.08900000000000001,-0.008,-0.033,0.027999999999999997,0.023,0.055,0.683
82,0.013000000000000001,-0.062,-0.01,-0.025,0.155,0.10400000000000001,0.016,-0.099,-0.038,-0.032,0.055,0.13699999999999998,-0.054,0.09699999999999999,0.048,0.063,-0.113,0.025,0.114,0.051,0.068,-0.027999999999999997,0.646
82,-0.011000000000000001,-0.021,-0.054000000000000006,0.016,-0.091,-0.08900000000000001,-0.001,-0.006999999999999999,-0.044000000000000004,0.019,0.004,-0.011000000000000001,0.011,-0.11599999999999999,-0.006,-0.042,0.001,-0.037000000000000005,-0.083,-0.064,-0.12,-0.021,0.585
82,0.008,-0.002,-0.031,0.013,1.178,0.858,0.052,-0.095,-0.141,0.025,0.08,0.053,0.018,-0.106,0.051,-0.006,0.048,-0.001,0.221,0.038,0.03,0.047,0.402
82,-0.004,-0.005,0.046,-0.023,0.289,0.28300000000000003,0.001,-0.023,0.023,-0.022,-0.19,-0.146,-0.039,0.142,-0.037000000000000005,0.022000000000000002,-0.015,-0.04,0.07,-0.055,0.055999999999999994,-0.037000000000000005,0.476
82,0.0,0.04,0.002,0.017,0.5710000000000001,0.40700000000000003,0.031,0.019,-0.025,0.021,-0.002,0.011000000000000001,-0.01,-0.046,0.042,0.012,0.11599999999999999,0.034,0.078,0.163,0.152,0.039,0.524
82,0.0,-0.048,0.01,-0.028,-0.473,-0.402,-0.036,-0.017,0.059000000000000004,-0.036,-0.034,0.008,-0.033,0.07200000000000001,-0.1,-0.047,-0.138,0.17800000000000002,0.042,-0.095,0.012,-0.055999999999999994,0.707
82,-0.001,-0.026000000000000002,-0.013999999999999999,-0.006,-0.26899999999999996,-0.115,-0.064,-0.003,-0.0,-0.001,-0.051,-0.065,0.011,-0.017,-0.008,-0.011000000000000001,-0.063,-0.02,-0.13699999999999998,-0.019,-0.12300000000000001,-0.04,0.768
82,0.003,-0.042,-0.019,-0.012,0.361,0.261,0.027,-0.069,-0.047,-0.012,-0.054000000000000006,-0.036000000000000004,-0.015,0.003,-0.057999999999999996,-0.04,-0.022000000000000002,-0.095,0.057,-0.08800000000000001,0.039,-0.035,0.695
82,0.0,0.002,0.009000000000000001,-0.003,0.599,0.395,0.043,-0.022000000000000002,-0.019,-0.002,0.027999999999999997,0.011000000000000001,0.013,0.02,0.049,0.04,-0.027999999999999997,0.077,0.042,0.02,-0.025,0.017,0.756
82,0.004,-0.044000000000000004,-0.023,-0.011,-0.134,0.069,-0.07,-0.04,-0.028999999999999998,-0.006,-0.027999999999999997,-0.027000000000000003,-0.0,-0.048,-0.01,-0.021,-0.033,-0.077,-0.162,-0.028999999999999998,-0.07400000000000001,-0.042,0.793
82,-0.005,-0.025,-0.013000000000000001,-0.006,0.188,0.09300000000000001,0.029,-0.032,-0.02,-0.007,0.11,0.095,0.011,0.024,-0.016,-0.004,-0.002,0.051,0.15,-0.07400000000000001,-0.08800000000000001,0.004,0.756
82,0.004,-0.03,0.012,-0.023,0.5329999999999999,0.386,0.032,-0.043,-0.004,-0.022,0.065,0.043,0.015,0.036000000000000004,0.002,0.012,-0.055,-0.003,-0.129,-0.046,0.052000000000000005,-0.008,0.756
82,-0.001,0.025,0.001,0.013,0.552,0.305,0.048,0.017,-0.009000000000000001,0.015,-0.006,-0.018000000000000002,0.009,-0.028999999999999998,0.02,0.005,0.049,-0.043,0.006,-0.026000000000000002,-0.06,0.023,0.659
82,0.003,-0.027999999999999997,-0.035,0.004,4.8,1.354,0.152,-0.04,-0.053,0.007,0.145,0.11900000000000001,0.017,-0.113,0.027000000000000003,-0.02,-0.025,-0.14,-0.002,-0.004,0.064,0.005,0.707
82,-0.006,0.011000000000000001,-0.01,0.011,-0.231,0.021,-0.034,0.012,-0.01,0.012,-0.035,-0.06,0.019,-0.018000000000000002,-0.028999999999999998,-0.025,0.069,-0.005,-0.07400000000000001,0.079,-0.034,0.004,0.695
82,0.003,0.037000000000000005,0.027000000000000003,0.005,-0.235,0.0,-0.043,0.038,0.027999999999999997,0.005,0.006,0.023,-0.012,0.08,0.006,0.028999999999999998,-0.003,0.05,-0.062,-0.057,0.023,0.031,0.732
82,-0.004,-0.03,0.002,-0.017,-0.15,-0.06,-0.019,-0.03,0.003,-0.017,-0.051,0.01,-0.047,0.07400000000000001,-0.061,-0.022000000000000002,-0.021,0.044000000000000004,0.009000000000000001,-0.05,0.096,-0.034,0.573
