G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.127,-0.12300000000000001,-0.10800000000000001,-0.008,-0.13699999999999998,-0.1,-0.015,-0.11800000000000001,-0.11199999999999999,-0.003,-0.094,-0.047,-0.038,0.107,-0.128,-0.071,-0.179,-0.044000000000000004,0.107,-0.114,-0.087,-0.12,0.683
72,-0.009000000000000001,-0.006999999999999999,-0.004,-0.001,0.006,-0.017,0.008,-0.011000000000000001,0.003,-0.008,-0.023,-0.033,0.008,0.065,-0.038,-0.015,-0.013999999999999999,0.13699999999999998,-0.085,-0.14,-0.127,-0.008,0.528
73,-0.11599999999999999,-0.002,-0.042,0.019,-0.016,-0.03,0.005,0.003,-0.048,0.027,-0.166,-0.156,-0.009,0.043,-0.022000000000000002,-0.008,0.001,-0.158,-0.11199999999999999,-0.03,-0.142,-0.032,0.466
82,0.009000000000000001,0.033,0.02,0.006,0.07,0.1,-0.01,0.021,-0.017,0.019,0.068,0.087,-0.014,-0.07200000000000001,0.062,0.031,0.111,0.11599999999999999,0.131,-0.065,-0.052000000000000005,0.042,0.402
82,-0.01,0.01,-0.01,0.009,-0.012,-0.008,-0.001,0.017,-0.01,0.013,-0.095,-0.09699999999999999,0.002,-0.121,-0.028999999999999998,-0.052000000000000005,0.013000000000000001,-0.061,0.151,0.159,0.033,-0.011000000000000001,0.268
82,0.004,-0.012,-0.001,-0.005,0.522,0.426,0.022,-0.11800000000000001,-0.122,0.002,-0.051,-0.052000000000000005,0.002,-0.033,0.05,0.027999999999999997,0.027999999999999997,-0.098,-0.017,-0.027999999999999997,0.032,0.013999999999999999,0.524
82,-0.004,-0.025,0.013999999999999999,-0.018,0.191,0.221,-0.008,-0.059000000000000004,-0.032,-0.014,0.096,0.083,0.009,0.07,-0.052000000000000005,-0.022000000000000002,-0.045,0.034,0.009000000000000001,-0.004,0.138,0.008,0.512
82,0.005,-0.008,0.006,-0.006,0.044000000000000004,0.086,-0.014,-0.016,-0.011000000000000001,-0.003,0.17,0.122,0.032,-0.099,0.043,0.004,-0.008,0.109,-0.075,-0.027000000000000003,-0.001,0.023,0.671
82,0.0,0.053,0.006999999999999999,0.021,0.06,0.036000000000000004,0.008,0.052000000000000005,0.001,0.024,-0.085,-0.046,-0.031,-0.10300000000000001,0.033,-0.008,0.045,-0.102,-0.14,-0.017,-0.055,0.028999999999999998,0.61
82,0.242,0.222,0.23199999999999998,-0.003,0.379,0.304,0.019,0.20199999999999999,0.218,-0.006,0.18100000000000002,0.161,0.013,0.27399999999999997,0.258,0.263,0.32899999999999996,0.114,0.264,0.198,0.261,0.222,0.683
66,-0.198,-0.242,-0.203,-0.023,-0.10400000000000001,-0.083,-0.007,-0.257,-0.222,-0.022,-0.231,-0.24100000000000002,0.009,-0.14300000000000002,-0.187,-0.174,-0.237,-0.182,-0.218,-0.166,-0.228,-0.235,0.621
82,-0.001,-0.006999999999999999,-0.011000000000000001,0.002,-0.102,-0.092,-0.004,0.004,0.003,0.0,-0.079,-0.1,0.017,-0.09300000000000001,-0.042,-0.057,0.096,0.195,0.105,-0.083,0.03,-0.025,0.561
82,0.005,0.125,0.08900000000000001,0.015,-0.136,-0.078,-0.023,0.16699999999999998,0.125,0.018,0.027999999999999997,0.06,-0.023,0.263,0.068,0.12,0.084,0.049,0.036000000000000004,-0.003,-0.069,0.092,0.488
82,0.0,-0.064,-0.063,-0.0,-0.358,-0.37799999999999995,0.011,0.011000000000000001,0.05,-0.018,0.035,-0.01,0.032,-0.001,-0.09,-0.068,-0.096,0.223,-0.003,0.001,0.11599999999999999,-0.068,0.293
82,-0.009000000000000001,0.021,0.045,-0.011,0.24,0.306,-0.019,-0.023,-0.025,0.001,-0.17300000000000001,-0.13,-0.038,-0.021,0.081,0.054000000000000006,-0.063,-0.10800000000000001,-0.052000000000000005,-0.069,-0.129,-0.009000000000000001,0.268
82,0.006,0.092,0.053,0.017,-0.153,-0.13699999999999998,-0.007,0.159,0.11900000000000001,0.017,0.243,0.16,0.051,0.038,-0.002,0.009000000000000001,0.059000000000000004,-0.06,-0.079,0.184,0.04,0.102,0.268
82,0.008,-0.02,-0.023,0.002,0.111,0.062,0.017,-0.051,-0.05,-0.0,-0.033,0.026000000000000002,-0.043,-0.06,0.031,0.006,-0.076,-0.142,-0.071,-0.053,-0.08,-0.013000000000000001,0.598
82,-0.009000000000000001,-0.054000000000000006,-0.057999999999999996,0.002,0.188,0.131,0.017,-0.09699999999999999,-0.10400000000000001,0.004,-0.02,-0.055999999999999994,0.027,-0.153,-0.031,-0.068,-0.10400000000000001,-0.121,-0.158,-0.024,0.004,-0.034,0.549
82,-0.003,-0.027999999999999997,-0.013000000000000001,-0.007,-0.043,0.027000000000000003,-0.025,-0.026000000000000002,-0.022000000000000002,-0.002,0.08900000000000001,0.107,-0.012,0.11,-0.034,0.006,0.012,0.221,0.13,-0.028999999999999998,0.134,-0.008,0.61
82,0.008,0.069,0.032,0.016,0.39,0.16699999999999998,0.059,0.027000000000000003,0.005,0.01,0.07200000000000001,0.027999999999999997,0.03,-0.042,0.022000000000000002,0.004,0.06,0.008,0.025,-0.061,0.068,0.085,0.341
82,0.0,-0.006999999999999999,-0.001,-0.003,0.034,0.157,-0.037,-0.012,-0.027000000000000003,0.007,-0.084,-0.005,-0.062,0.10099999999999999,-0.006999999999999999,0.022000000000000002,-0.06,0.102,0.359,0.040999999999999995,-0.09300000000000001,-0.02,0.28
82,-0.004,-0.008,0.015,-0.01,0.003,0.055,-0.018,-0.009000000000000001,0.009000000000000001,-0.008,-0.086,-0.08199999999999999,-0.004,-0.11,0.046,-0.001,0.11699999999999999,-0.036000000000000004,0.038,-0.065,-0.079,-0.023,0.268
82,0.631,0.76,0.6779999999999999,0.021,1.189,0.982,0.034,0.718,0.638,0.022,0.58,0.46299999999999997,0.057,0.546,0.71,0.657,0.763,0.44799999999999995,0.7390000000000001,0.629,0.675,0.7340000000000001,0.16
50,-0.386,-0.45299999999999996,-0.41600000000000004,-0.03,-0.545,-0.496,-0.035,-0.442,-0.40299999999999997,-0.031,-0.364,-0.344,-0.023,-0.39899999999999997,-0.41200000000000003,-0.408,-0.508,-0.316,-0.43,-0.396,-0.379,-0.439,0.232
82,0.003,0.066,0.018000000000000002,0.021,-0.27,-0.295,0.013,0.129,0.095,0.015,0.289,0.237,0.03,0.057,0.073,0.068,0.053,-0.065,-0.248,0.08,0.031,0.083,0.171
82,-0.005,0.017,-0.005,0.009,0.196,0.128,0.02,-0.011000000000000001,-0.033,0.01,-0.149,-0.132,-0.014,0.069,-0.006999999999999999,0.016,0.091,-0.098,0.39299999999999996,-0.034,-0.052000000000000005,-0.006999999999999999,0.183
