G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.134,-0.133,-0.121,-0.006,-0.11599999999999999,-0.153,0.016,-0.141,-0.09699999999999999,-0.027,-0.114,-0.132,0.017,0.133,-0.127,-0.077,-0.158,-0.174,-0.287,-0.098,-0.059000000000000004,-0.128,0.661
72,-0.021,-0.019,-0.021,0.001,-0.048,0.009000000000000001,-0.021,-0.005,-0.043,0.021,-0.166,-0.174,0.008,-0.066,-0.08,-0.077,0.002,0.04,-0.139,-0.069,-0.092,-0.049,0.556
73,-0.10099999999999999,-0.114,-0.147,0.017,0.055,-0.027999999999999997,0.03,-0.182,-0.21600000000000003,0.022,0.163,0.033,0.088,-0.327,-0.09,-0.14800000000000002,-0.05,-0.128,-0.259,-0.099,-0.12300000000000001,-0.055999999999999994,0.603
82,-0.01,0.021,0.032,-0.005,0.027999999999999997,0.061,-0.011,0.018000000000000002,0.015,0.002,0.024,0.113,-0.06,0.207,0.027999999999999997,0.066,0.069,0.011000000000000001,0.025,0.025,0.039,0.022000000000000002,0.476
82,0.008,-0.006,-0.006,0.0,0.11800000000000001,0.132,-0.005,-0.047,-0.069,0.012,-0.031,-0.094,0.049,-0.125,0.035,-0.004,0.069,0.054000000000000006,-0.068,0.07,-0.019,0.002,0.537
82,-0.003,0.017,0.051,-0.015,0.622,0.495,0.029,-0.09699999999999999,-0.075,-0.012,-0.11199999999999999,-0.064,-0.038,0.081,-0.038,-0.011000000000000001,0.019,0.063,-0.11699999999999999,-0.046,0.11900000000000001,0.031,0.5
82,0.005,0.092,0.057999999999999996,0.015,-0.10400000000000001,-0.10800000000000001,0.001,0.139,0.11699999999999999,0.01,-0.022000000000000002,-0.026000000000000002,0.003,0.08,0.142,0.128,0.051,-0.139,0.42700000000000005,-0.049,-0.08199999999999999,0.057,0.585
82,-0.008,-0.08199999999999999,0.009000000000000001,-0.045,-0.16399999999999998,-0.09300000000000001,-0.028,-0.06,0.051,-0.059,0.005,0.03,-0.018,0.191,0.027000000000000003,0.061,-0.12,-0.12300000000000001,0.013999999999999999,0.002,0.025,-0.07400000000000001,0.451
82,0.0,-0.002,-0.012,0.005,-0.073,0.011000000000000001,-0.033,0.019,-0.021,0.022,0.006,-0.002,0.005,-0.07200000000000001,-0.037000000000000005,-0.045,-0.023,0.031,-0.168,0.06,0.040999999999999995,-0.006999999999999999,0.659
82,0.239,0.287,0.218,0.027,0.938,0.7559999999999999,0.037,0.171,0.085,0.039,0.149,0.18100000000000002,-0.021,-0.015,0.209,0.153,0.435,0.214,0.242,0.141,0.196,0.298,0.805
