G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.138,-0.21100000000000002,-0.166,-0.026,-0.149,-0.087,-0.026,-0.24,-0.21899999999999997,-0.015,-0.078,-0.096,0.015,-0.14400000000000002,-0.171,-0.165,-0.209,-0.198,-0.251,-0.153,-0.085,-0.18600000000000003,0.597
72,-0.015,0.019,-0.004,0.011,0.031,-0.06,0.034,0.013999999999999999,0.038,-0.013,-0.125,-0.145,0.017,0.07200000000000001,-0.11599999999999999,-0.08199999999999999,-0.028999999999999998,0.11199999999999999,-0.221,-0.09699999999999999,-0.131,-0.002,0.639
73,-0.11,-0.111,-0.111,0.0,-0.08900000000000001,-0.094,0.002,-0.121,-0.124,0.002,-0.092,-0.055,-0.03,-0.09300000000000001,-0.07,-0.075,-0.11599999999999999,-0.145,-0.11699999999999999,-0.031,-0.11,-0.106,0.767
82,-0.003,0.091,0.098,-0.003,0.539,0.5479999999999999,-0.002,-0.035,-0.09300000000000001,0.034,-0.019,-0.006,-0.01,0.10800000000000001,0.28600000000000003,0.248,0.121,-0.14800000000000002,0.09699999999999999,0.003,-0.08199999999999999,0.109,0.732
82,0.003,0.024,0.013999999999999999,0.005,-0.003,0.04,-0.015,0.031,0.003,0.015,0.061,0.040999999999999995,0.014,-0.048,-0.004,-0.013999999999999999,-0.04,0.084,0.016,-0.01,0.055,0.027999999999999997,0.537
82,-0.003,0.012,-0.004,0.007,0.636,0.524,0.025,-0.09,-0.127,0.021,0.015,-0.013000000000000001,0.021,-0.157,0.012,-0.031,0.047,-0.009000000000000001,-0.08199999999999999,-0.08199999999999999,-0.021,0.046,0.512
82,-0.005,0.02,0.003,0.008,-0.193,-0.149,-0.019,0.066,0.046,0.009,0.061,0.07400000000000001,-0.009,-0.021,-0.006,-0.01,-0.019,-0.14800000000000002,0.179,-0.092,-0.066,0.012,0.402
82,0.003,0.044000000000000004,-0.002,0.02,-0.005,-0.034,0.01,0.055999999999999994,0.006999999999999999,0.022,-0.047,-0.059000000000000004,0.009,-0.098,0.073,0.024,0.098,0.45799999999999996,0.0,0.109,0.059000000000000004,0.025,0.5
82,0.003,-0.055999999999999994,-0.064,0.004,-0.08800000000000001,-0.07,-0.007,-0.049,-0.062,0.007,0.10099999999999999,0.084,0.011,-0.091,-0.054000000000000006,-0.065,-0.062,-0.21,-0.267,0.071,0.102,-0.034,0.183
82,0.25,0.25,0.273,-0.008,0.37799999999999995,0.32,0.015,0.223,0.26,-0.014,0.142,0.201,-0.038,0.302,0.27899999999999997,0.28600000000000003,0.21,0.25,0.642,0.244,0.221,0.24100000000000002,0.463
66,-0.2,-0.111,-0.136,0.013,-0.09699999999999999,-0.105,0.003,-0.114,-0.145,0.017,-0.23,-0.248,0.017,-0.049,-0.2,-0.161,0.003,-0.11199999999999999,-0.16,-0.158,-0.243,-0.133,0.47
82,-0.008,-0.077,-0.065,-0.006,-0.251,-0.22,-0.014,-0.031,-0.011000000000000001,-0.009,0.126,0.12300000000000001,0.002,-0.107,-0.031,-0.052000000000000005,-0.11199999999999999,0.064,0.036000000000000004,0.017,-0.077,-0.059000000000000004,0.427
82,0.01,0.013999999999999999,0.036000000000000004,-0.01,0.262,0.28800000000000003,-0.007,-0.037000000000000005,-0.03,-0.003,-0.21600000000000003,-0.19,-0.026,-0.008,0.08199999999999999,0.055,-0.034,-0.048,0.25,-0.06,-0.08199999999999999,-0.016,0.561
82,-0.004,-0.006,0.001,-0.003,0.131,0.07200000000000001,0.019,-0.03,-0.016,-0.007,0.111,0.044000000000000004,0.047,-0.078,0.002,-0.023,0.024,0.11900000000000001,-0.147,-0.046,0.136,0.023,0.415
82,0.0,-0.03,0.005,-0.016,-0.13699999999999998,-0.10800000000000001,-0.012,-0.009000000000000001,0.036000000000000004,-0.022,0.033,0.032,0.001,0.121,0.04,0.064,-0.006,-0.073,0.612,-0.024,-0.04,-0.026000000000000002,0.317
82,0.0,0.049,0.023,0.012,0.034,0.10300000000000001,-0.024,0.052000000000000005,0.002,0.023,-0.099,-0.09300000000000001,-0.005,0.013000000000000001,-0.07200000000000001,-0.049,0.001,-0.017,-0.17,0.036000000000000004,-0.043,0.019,0.341
82,0.004,0.004,-0.002,0.003,0.56,0.44299999999999995,0.028,-0.064,-0.075,0.005,-0.092,-0.051,-0.034,-0.057,0.018000000000000002,-0.004,0.027999999999999997,0.129,-0.066,0.057,0.057999999999999996,0.006,0.488
82,0.0,-0.002,-0.011000000000000001,0.004,-0.19,-0.192,0.001,0.027000000000000003,0.027000000000000003,0.0,0.013000000000000001,0.017,-0.003,0.026000000000000002,-0.039,-0.021,-0.081,-0.045,-0.245,0.02,0.077,-0.008,0.366
82,-0.006,-0.025,-0.003,-0.01,-0.315,-0.25,-0.033,0.044000000000000004,0.07,-0.012,0.145,0.147,-0.001,0.096,0.057,0.068,0.027000000000000003,-0.109,0.113,0.063,-0.084,-0.015,0.5
82,0.0,0.001,0.013999999999999999,-0.006,-0.013000000000000001,-0.036000000000000004,0.009,0.005,0.03,-0.012,0.12300000000000001,0.081,0.028,0.042,-0.07400000000000001,-0.046,-0.013000000000000001,0.044000000000000004,-0.113,-0.098,0.018000000000000002,0.02,0.512
82,0.006,-0.023,-0.033,0.005,0.055,0.069,-0.005,-0.04,-0.061,0.011,-0.10400000000000001,-0.057,-0.039,-0.13699999999999998,0.023,-0.022000000000000002,0.002,-0.113,0.005,0.03,-0.073,-0.032,0.634
82,-0.004,-0.02,-0.004,-0.007,0.426,0.385,0.011,-0.083,-0.077,-0.003,-0.054000000000000006,-0.054000000000000006,0.0,-0.04,0.054000000000000006,0.025,-0.004,0.001,0.013000000000000001,-0.087,-0.046,-0.005,0.512
82,0.648,0.8109999999999999,0.7879999999999999,0.006,0.706,0.727,-0.005,0.8270000000000001,0.8,0.007,0.8390000000000001,0.716,0.053,0.782,0.733,0.748,0.7979999999999999,0.518,0.8859999999999999,0.711,0.769,0.8109999999999999,0.56
50,-0.395,-0.39899999999999997,-0.40299999999999997,0.003,-0.07200000000000001,-0.11900000000000001,0.019,-0.43,-0.43799999999999994,0.007,-0.491,-0.467,-0.034,-0.449,-0.38799999999999996,-0.40700000000000003,-0.375,-0.397,-0.434,-0.48,-0.40399999999999997,-0.408,0.439
82,0.01,-0.017,0.015,-0.015,-0.231,-0.23600000000000002,0.002,0.01,0.057999999999999996,-0.022,0.066,0.03,0.026,0.084,-0.012,0.016,0.024,0.16,0.026000000000000002,0.076,0.012,-0.009000000000000001,0.402
82,0.0,-0.022000000000000002,-0.028999999999999998,0.003,-0.092,-0.129,0.014,-0.013000000000000001,-0.009000000000000001,-0.002,0.105,0.099,0.004,-0.018000000000000002,0.046,0.026000000000000002,-0.083,0.086,0.134,-0.008,-0.026000000000000002,-0.002,0.305
82,-0.006,0.004,-0.015,0.009,-0.27699999999999997,-0.217,-0.028,0.059000000000000004,0.038,0.01,-0.122,-0.153,0.026,-0.085,-0.011000000000000001,-0.035,0.01,-0.136,-0.145,-0.07,0.046,-0.038,0.415
82,0.008,-0.006999999999999999,-0.032,0.012,0.49200000000000005,0.324,0.041,-0.068,-0.095,0.014,0.051,0.036000000000000004,0.01,-0.055999999999999994,0.015,-0.009000000000000001,-0.107,-0.158,-0.11800000000000001,0.037000000000000005,0.02,0.025,0.244
82,-0.001,-0.069,-0.017,-0.025,0.061,0.08900000000000001,-0.009,-0.08199999999999999,-0.033,-0.025,-0.009000000000000001,0.048,-0.04,0.07200000000000001,0.019,0.037000000000000005,-0.066,-0.073,0.036000000000000004,-0.015,-0.079,-0.053,0.341
82,-0.008,-0.016,-0.04,0.012,-0.159,-0.069,-0.036,0.002,-0.036000000000000004,0.019,-0.033,-0.011000000000000001,-0.017,-0.19,-0.027000000000000003,-0.08800000000000001,0.033,0.0,0.24,0.01,0.039,-0.025,0.378
82,0.001,-0.005,0.039,-0.02,0.444,0.335,0.028,-0.042,0.003,-0.022,-0.111,-0.061,-0.043,0.20199999999999999,0.005,0.07,-0.027000000000000003,-0.035,-0.039,0.022000000000000002,-0.063,-0.013999999999999999,0.585
82,0.001,-0.013000000000000001,-0.027999999999999997,0.007,0.23,0.124,0.029,-0.028999999999999998,-0.043,0.008,0.043,-0.013999999999999999,0.044,-0.026000000000000002,-0.037000000000000005,-0.034,0.013999999999999999,0.08199999999999999,0.012,0.005,-0.025,0.004,0.537
82,0.004,-0.006,-0.003,-0.001,0.168,0.182,-0.004,-0.015,-0.019,0.002,-0.11900000000000001,-0.046,-0.063,-0.022000000000000002,-0.011000000000000001,-0.015,-0.012,0.006,0.009000000000000001,0.008,0.068,-0.027000000000000003,0.598
82,-0.001,0.01,0.012,-0.001,0.34600000000000003,0.38299999999999995,-0.009,-0.004,-0.01,0.003,0.067,0.008,0.046,0.013999999999999999,-0.027000000000000003,-0.013999999999999999,-0.055999999999999994,0.22399999999999998,-0.15,0.024,-0.018000000000000002,0.027000000000000003,0.512
82,0.0,-0.026000000000000002,-0.027999999999999997,0.001,-0.281,-0.28300000000000003,0.001,-0.012,-0.006,-0.003,-0.062,-0.073,0.009,-0.002,0.006,0.003,0.073,-0.20600000000000002,-0.033,0.012,-0.08800000000000001,-0.039,0.61
82,-0.001,-0.04,-0.004,-0.018,0.48,0.49700000000000005,-0.004,-0.059000000000000004,-0.031,-0.014,-0.053,-0.055999999999999994,0.002,-0.059000000000000004,-0.04,-0.047,-0.053,0.05,-0.146,-0.08,-0.013999999999999999,-0.036000000000000004,0.695
82,0.0,0.01,0.006999999999999999,0.001,0.40399999999999997,0.299,0.025,0.0,-0.005,0.003,0.10099999999999999,0.092,0.006,-0.053,0.027999999999999997,0.0,-0.003,0.168,-0.053,-0.009000000000000001,-0.013000000000000001,0.033,0.72
82,-0.005,0.038,0.040999999999999995,-0.001,0.508,0.267,0.048,0.03,0.033,-0.001,0.075,0.051,0.017,0.107,-0.013000000000000001,0.025,0.024,0.073,-0.006,-0.023,0.033,0.049,0.61
82,0.004,-0.015,-0.023,0.004,0.595,0.373,0.035,-0.022000000000000002,-0.032,0.005,0.006999999999999999,0.024,-0.012,0.037000000000000005,-0.037000000000000005,-0.015,-0.001,-0.03,-0.081,-0.022000000000000002,0.017,-0.008,0.622
82,0.001,-0.016,0.017,-0.016,-0.245,0.03,-0.08,-0.013000000000000001,0.016,-0.015,-0.013000000000000001,-0.013000000000000001,0.0,-0.062,0.026000000000000002,-0.003,-0.052000000000000005,-0.132,0.16899999999999998,-0.08900000000000001,-0.066,-0.017,0.671
82,0.003,-0.048,-0.061,0.007,0.633,0.252,0.07,-0.053,-0.067,0.007,-0.027000000000000003,-0.005,-0.017,-0.075,0.003,-0.024,-0.037000000000000005,-0.115,-0.142,0.005,0.038,-0.042,0.598
82,-0.003,0.01,-0.011000000000000001,0.01,-0.4,-0.155,-0.094,0.016,-0.008,0.012,0.12300000000000001,0.113,0.007,0.013000000000000001,0.005,0.008,0.018000000000000002,0.10800000000000001,0.039,0.057,0.135,0.027999999999999997,0.463
