G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.139,-0.132,-0.133,0.0,-0.053,-0.05,-0.001,-0.17,-0.192,0.014,-0.175,-0.17800000000000002,0.002,-0.034,-0.147,-0.12,-0.154,-0.157,-0.08800000000000001,-0.129,-0.096,-0.13,0.532
72,0.11900000000000001,0.134,0.11599999999999999,0.007,0.107,0.065,0.013,0.147,0.155,-0.003,0.034,0.023,0.008,0.121,0.083,0.092,0.21,0.139,0.099,0.047,0.1,0.114,0.319
64,-0.215,-0.242,-0.21600000000000003,-0.015,0.031,0.078,-0.015,-0.33,-0.35100000000000003,0.017,-0.221,-0.18600000000000003,-0.034,-0.26899999999999996,-0.203,-0.21899999999999997,-0.244,-0.187,-0.11900000000000001,-0.087,-0.177,-0.214,0.297
82,0.001,0.013999999999999999,0.059000000000000004,-0.02,0.257,0.278,-0.006,-0.045,-0.018000000000000002,-0.014,-0.013999999999999999,0.008,-0.017,0.08800000000000001,0.061,0.067,0.084,-0.009000000000000001,0.191,0.052000000000000005,0.113,0.027000000000000003,0.439
82,0.0,0.04,0.02,0.009,0.095,0.071,0.008,0.027999999999999997,0.004,0.012,0.004,-0.003,0.005,-0.096,0.021,-0.011000000000000001,-0.040999999999999995,0.054000000000000006,-0.068,-0.11199999999999999,-0.092,0.037000000000000005,0.573
82,-0.004,0.045,0.038,0.003,0.321,0.27899999999999997,0.011,-0.002,-0.023,0.01,-0.095,-0.10300000000000001,0.006,0.14300000000000002,-0.018000000000000002,0.021,0.013000000000000001,-0.003,-0.013000000000000001,-0.066,-0.028999999999999998,0.031,0.378
82,0.004,0.037000000000000005,-0.022000000000000002,0.026,0.121,0.10099999999999999,0.006,0.023,-0.049,0.035,0.07,0.049,0.016,-0.135,0.075,0.016,0.08199999999999999,-0.018000000000000002,0.147,0.0,0.08,0.048,0.354
82,-0.003,-0.064,-0.049,-0.007,-0.32299999999999995,-0.304,-0.01,-0.003,0.033,-0.017,-0.085,-0.083,-0.002,-0.073,-0.09,-0.085,-0.098,-0.07,0.10099999999999999,0.078,0.045,-0.086,0.195
82,0.006,0.084,0.071,0.005,0.33299999999999996,0.191,0.036,0.039,0.037000000000000005,0.001,0.182,0.127,0.036,0.052000000000000005,0.069,0.064,0.069,0.026000000000000002,-0.233,-0.059000000000000004,-0.003,0.11699999999999999,0.488
82,0.23800000000000002,0.25,0.233,0.006,-0.049,0.037000000000000005,-0.027,0.325,0.303,0.008,0.183,0.22899999999999998,-0.029,0.221,0.184,0.19399999999999998,0.423,0.606,0.321,0.213,0.245,0.215,0.378
66,-0.19399999999999998,-0.23800000000000002,-0.225,-0.007,-0.19699999999999998,-0.091,-0.044,-0.248,-0.264,0.01,-0.157,-0.159,0.002,-0.265,-0.183,-0.207,-0.218,-0.264,-0.306,-0.284,-0.336,-0.22,0.394
82,0.0,-0.005,0.013000000000000001,-0.008,0.462,0.325,0.035,-0.075,-0.051,-0.012,0.057999999999999996,0.026000000000000002,0.023,0.128,0.0,0.035,0.015,-0.008,0.379,0.049,0.07400000000000001,0.028999999999999998,0.207
82,-0.001,0.04,0.023,0.007,-0.258,-0.233,-0.012,0.106,0.099,0.003,-0.045,-0.016,-0.023,-0.013000000000000001,0.047,0.03,-0.028999999999999998,0.166,-0.05,0.14400000000000002,-0.048,0.004,0.183
82,0.004,-0.028999999999999998,-0.006999999999999999,-0.01,0.231,0.222,0.003,-0.073,-0.06,-0.007,0.207,0.156,0.033,0.011000000000000001,0.006,0.006999999999999999,0.027000000000000003,-0.16899999999999998,0.052000000000000005,-0.019,-0.053,0.023,0.293
82,-0.013999999999999999,0.026000000000000002,0.048,-0.01,0.14800000000000002,0.156,-0.002,0.008,0.027000000000000003,-0.009,-0.16899999999999998,-0.105,-0.056,0.177,-0.019,0.03,-0.11800000000000001,0.158,-0.057999999999999996,-0.07,0.07200000000000001,-0.005,0.268
82,0.008,0.038,0.026000000000000002,0.005,0.239,0.156,0.024,0.013999999999999999,0.003,0.005,0.044000000000000004,-0.002,0.034,0.01,0.021,0.019,0.077,-0.048,-0.31,0.075,-0.069,0.047,0.39
82,0.005,-0.052000000000000005,-0.044000000000000004,-0.004,-0.215,-0.177,-0.016,-0.027000000000000003,-0.016,-0.006,-0.009000000000000001,0.040999999999999995,-0.038,-0.14400000000000002,-0.061,-0.083,-0.105,0.215,0.054000000000000006,0.102,0.065,-0.052000000000000005,0.402
82,0.0,0.004,0.009000000000000001,-0.002,0.212,0.276,-0.018,-0.021,-0.033,0.006,0.065,0.044000000000000004,0.015,0.08199999999999999,-0.025,0.002,0.015,-0.18,-0.032,0.035,0.025,0.023,0.537
82,-0.003,-0.044000000000000004,-0.035,-0.004,0.10099999999999999,0.11599999999999999,-0.005,-0.059000000000000004,-0.055,-0.002,-0.032,-0.045,0.011,-0.08800000000000001,0.012,-0.015,-0.087,0.013999999999999999,0.067,-0.07200000000000001,0.016,-0.036000000000000004,0.707
82,0.0,-0.001,-0.011000000000000001,0.005,-0.253,-0.23199999999999998,-0.01,0.035,0.027999999999999997,0.003,0.005,0.040999999999999995,-0.028,-0.094,0.02,-0.013000000000000001,0.039,0.055,0.013999999999999999,0.025,-0.02,-0.012,0.622
82,-0.001,0.009000000000000001,0.002,0.003,0.23,0.162,0.021,-0.017,-0.022000000000000002,0.002,0.026000000000000002,0.01,0.012,0.057,0.037000000000000005,0.043,-0.043,-0.23199999999999998,-0.064,-0.034,-0.085,0.02,0.573
82,-0.004,-0.024,-0.006,-0.009,0.298,0.258,0.011,-0.051,-0.036000000000000004,-0.007,-0.011000000000000001,-0.018000000000000002,0.006,-0.013999999999999999,-0.0,-0.004,-0.055,0.096,0.027000000000000003,-0.003,-0.006999999999999999,-0.012,0.61
82,0.655,0.755,0.597,0.042,1.033,0.746,0.049,0.735,0.581,0.043,0.624,0.5479999999999999,0.037,0.34700000000000003,0.775,0.625,0.81,0.46,0.632,0.777,0.614,0.7390000000000001,0.5
50,-0.397,-0.418,-0.368,-0.037,-0.597,-0.53,-0.05,-0.39899999999999997,-0.344,-0.04,-0.493,-0.493,0.0,-0.29100000000000004,-0.42700000000000005,-0.385,-0.41100000000000003,-0.33299999999999996,-0.363,-0.43700000000000006,-0.37,-0.439,0.549
