G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.142,-0.17600000000000002,-0.125,-0.029,-0.322,-0.23800000000000002,-0.043,-0.105,-0.045,-0.036,-0.19,-0.18899999999999997,-0.001,0.0,-0.168,-0.135,-0.204,-0.10300000000000001,-0.13699999999999998,-0.12,-0.10099999999999999,-0.196,0.516
72,-0.004,0.068,-0.032,0.046,0.084,-0.053,0.05,0.06,-0.017,0.041,0.011000000000000001,-0.063,0.059,-0.16399999999999998,-0.046,-0.07200000000000001,0.095,0.043,0.17300000000000001,-0.113,-0.092,0.061,0.667
72,-0.125,-0.11900000000000001,-0.11699999999999999,-0.001,-0.10099999999999999,-0.07400000000000001,-0.01,-0.127,-0.146,0.011,-0.17,-0.17,0.001,-0.149,-0.081,-0.09699999999999999,-0.099,-0.139,-0.047,-0.111,-0.14400000000000002,-0.126,0.486
82,0.006,0.053,0.034,0.008,0.006,0.013999999999999999,-0.003,0.076,0.048,0.013,0.08900000000000001,0.129,-0.027,0.136,0.023,0.048,0.006999999999999999,0.053,-0.131,-0.006999999999999999,0.044000000000000004,0.053,0.512
82,0.005,0.011000000000000001,0.018000000000000002,-0.003,0.187,0.129,0.018,-0.057999999999999996,-0.047,-0.006,-0.10300000000000001,-0.084,-0.016,0.098,-0.009000000000000001,0.012,0.105,-0.13699999999999998,0.008,-0.08199999999999999,-0.022000000000000002,0.008,0.341
82,0.0,-0.011000000000000001,0.01,-0.009,0.652,0.718,-0.014,-0.146,-0.188,0.025,0.23800000000000002,0.18899999999999997,0.031,-0.165,0.10099999999999999,0.035,-0.04,-0.054000000000000006,0.166,0.11900000000000001,0.16899999999999998,0.07200000000000001,0.244
82,-0.009000000000000001,0.022000000000000002,0.017,0.002,-0.018000000000000002,-0.077,0.021,0.03,0.047,-0.008,-0.054000000000000006,-0.065,0.009,0.02,-0.005,0.001,0.066,0.08900000000000001,-0.024,0.07,-0.065,0.006,0.256
82,0.003,0.047,0.065,-0.008,-0.237,-0.15,-0.038,0.138,0.157,-0.008,-0.099,-0.092,-0.005,0.17300000000000001,0.091,0.11,0.001,-0.183,0.09300000000000001,-0.049,-0.111,-0.005,0.463
82,0.001,-0.004,-0.023,0.009,0.129,0.092,0.012,-0.04,-0.066,0.014,0.053,0.022000000000000002,0.022,-0.311,-0.022000000000000002,-0.10800000000000001,0.027999999999999997,0.177,-0.205,-0.012,0.185,0.017,0.537
82,0.25,0.301,0.23,0.024,0.239,0.188,0.014,0.319,0.24600000000000002,0.027,0.287,0.366,-0.045,0.337,0.309,0.317,0.272,0.215,0.504,0.212,0.183,0.293,0.598
66,-0.20600000000000002,-0.225,-0.19899999999999998,-0.014,0.105,0.10800000000000001,-0.001,-0.28600000000000003,-0.276,-0.007,-0.22,-0.23800000000000002,0.018,-0.139,-0.23,-0.205,-0.239,0.076,-0.32299999999999995,-0.136,-0.298,-0.204,0.333
82,0.011000000000000001,0.037000000000000005,0.013000000000000001,0.01,0.218,0.128,0.025,0.009000000000000001,-0.013000000000000001,0.01,-0.092,-0.067,-0.022,0.013000000000000001,0.035,0.028999999999999998,0.11900000000000001,-0.201,-0.023,-0.025,0.1,0.019,0.293
82,-0.003,-0.038,0.003,-0.018,-0.42200000000000004,-0.317,-0.058,0.07200000000000001,0.11800000000000001,-0.02,0.019,0.018000000000000002,0.001,0.055,-0.024,-0.003,-0.059000000000000004,0.025,0.005,0.1,-0.106,-0.057999999999999996,0.146
82,0.0,0.024,0.013000000000000001,0.005,0.309,0.213,0.028,-0.036000000000000004,-0.044000000000000004,0.004,-0.064,-0.115,0.043,-0.069,-0.042,-0.049,-0.15,0.073,0.003,-0.125,-0.009000000000000001,0.024,0.415
82,-0.003,-0.02,0.011000000000000001,-0.014,-0.182,-0.147,-0.015,0.023,0.067,-0.02,0.052000000000000005,0.039,0.009,0.111,-0.002,0.026000000000000002,-0.019,0.044000000000000004,0.429,0.013999999999999999,-0.006999999999999999,-0.018000000000000002,0.415
82,0.005,0.049,0.01,0.017,0.27699999999999997,0.158,0.034,0.001,-0.034,0.017,-0.055,-0.016,-0.031,0.0,-0.006,-0.004,0.040999999999999995,-0.106,-0.018000000000000002,0.083,-0.018000000000000002,0.04,0.5
82,-0.006,0.009000000000000001,-0.016,0.011,0.09699999999999999,0.203,-0.032,-0.006999999999999999,-0.066,0.028,0.066,0.073,-0.005,-0.039,0.064,0.037000000000000005,0.063,-0.142,-0.09699999999999999,-0.039,-0.040999999999999995,0.026000000000000002,0.598
82,0.01,-0.021,0.006999999999999999,-0.013,0.154,0.071,0.026,-0.048,-0.006,-0.02,0.11199999999999999,0.099,0.009,-0.008,-0.035,-0.027999999999999997,-0.11800000000000001,-0.083,-0.043,-0.037000000000000005,0.153,0.013000000000000001,0.512
82,-0.003,-0.032,-0.032,0.0,0.09,0.079,0.003,-0.048,-0.053,0.002,-0.159,-0.154,-0.004,-0.13,-0.022000000000000002,-0.052000000000000005,0.065,-0.011000000000000001,-0.139,-0.002,-0.027999999999999997,-0.054000000000000006,0.573
