G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.157,-0.221,-0.17,-0.029,-0.142,-0.092,-0.019,-0.247,-0.21100000000000002,-0.025,-0.20199999999999999,-0.265,0.062,-0.16699999999999998,-0.19899999999999998,-0.191,-0.196,-0.141,-0.187,-0.16699999999999998,-0.07,-0.21100000000000002,0.41
72,0.0,-0.002,-0.027999999999999997,0.013,-0.22399999999999998,-0.175,-0.022,0.10300000000000001,0.071,0.016,0.114,0.113,0.0,0.06,0.006999999999999999,0.019,-0.031,0.011000000000000001,-0.12,-0.109,-0.15,-0.011000000000000001,0.431
72,-0.11800000000000001,-0.14400000000000002,-0.128,-0.009,0.166,0.085,0.026,-0.24,-0.22899999999999998,-0.007,-0.159,-0.122,-0.033,-0.12300000000000001,-0.141,-0.13699999999999998,-0.128,-0.11599999999999999,-0.188,-0.027999999999999997,-0.12,-0.11900000000000001,0.417
82,-0.01,0.023,0.044000000000000004,-0.01,0.006,0.059000000000000004,-0.018,0.028999999999999998,0.038,-0.005,0.10400000000000001,0.11900000000000001,-0.01,0.27699999999999997,0.015,0.067,0.01,-0.07200000000000001,-0.091,-0.006999999999999999,0.10300000000000001,0.033,0.402
82,0.003,0.09,0.016,0.033,0.09,0.053,0.012,0.09,-0.001,0.045,-0.032,-0.06,0.022,0.013000000000000001,0.016,0.015,0.174,0.03,0.071,0.16,0.054000000000000006,0.071,0.585
82,0.006,0.018000000000000002,0.013000000000000001,0.002,0.094,0.126,-0.01,-0.004,-0.03,0.013,-0.033,0.001,-0.027,-0.10099999999999999,0.062,0.025,0.027999999999999997,0.008,0.325,-0.044000000000000004,-0.13,0.016,0.415
82,0.0,0.013999999999999999,0.036000000000000004,-0.01,0.198,0.23199999999999998,-0.01,-0.027999999999999997,-0.024,-0.002,0.052000000000000005,0.018000000000000002,0.025,-0.17,0.035,-0.019,0.006999999999999999,0.145,-0.32899999999999996,0.013999999999999999,0.12,0.034,0.366
82,-0.004,0.002,0.005,-0.001,0.20600000000000002,0.215,-0.003,-0.036000000000000004,-0.045,0.005,-0.09699999999999999,-0.075,-0.018,0.01,0.054000000000000006,0.042,0.035,-0.145,-0.025,-0.037000000000000005,-0.17600000000000002,-0.004,0.549
82,0.004,0.049,0.026000000000000002,0.01,-0.092,-0.11599999999999999,0.01,0.081,0.067,0.006,0.17300000000000001,0.183,-0.007,-0.055999999999999994,0.025,0.001,0.013999999999999999,0.244,0.18899999999999997,-0.054000000000000006,0.11,0.06,0.415
82,0.24100000000000002,0.285,0.29100000000000004,-0.002,1.0659999999999998,0.897,0.03,0.18600000000000003,0.182,0.001,0.201,0.171,0.019,0.365,0.218,0.257,0.258,0.066,0.392,0.165,0.264,0.304,0.329
66,-0.196,-0.21899999999999997,-0.205,-0.008,-0.41700000000000004,-0.369,-0.027,-0.184,-0.166,-0.01,-0.272,-0.264,-0.009,-0.121,-0.193,-0.175,-0.191,-0.218,-0.12,-0.042,-0.23,-0.24,0.318
82,0.0,-0.07400000000000001,-0.062,-0.006,-0.222,-0.21600000000000003,-0.003,-0.040999999999999995,-0.016,-0.012,0.12300000000000001,0.142,-0.013,-0.033,0.006999999999999999,-0.003,-0.075,-0.002,0.19699999999999998,-0.031,0.07,-0.053,0.561
82,0.004,0.092,0.075,0.007,0.027000000000000003,0.03,-0.001,0.107,0.08900000000000001,0.008,-0.126,-0.094,-0.028,0.062,-0.001,0.013999999999999999,0.136,0.054000000000000006,-0.11199999999999999,0.07200000000000001,-0.035,0.046,0.451
82,-0.003,-0.08,-0.063,-0.008,-0.11699999999999999,-0.059000000000000004,-0.024,-0.071,-0.065,-0.003,0.127,0.07400000000000001,0.038,-0.14400000000000002,-0.016,-0.051,-0.099,-0.069,0.053,0.055999999999999994,0.08800000000000001,-0.05,0.598
82,-0.004,0.065,0.018000000000000002,0.02,0.385,0.29100000000000004,0.026,0.006999999999999999,-0.045,0.025,-0.086,-0.121,0.029,-0.086,-0.006999999999999999,-0.03,0.161,0.22,-0.075,-0.179,-0.055,0.055999999999999994,0.683
82,0.004,0.049,0.038,0.005,0.517,0.419,0.023,-0.006,-0.023,0.008,-0.129,-0.10800000000000001,-0.018,0.11699999999999999,0.055999999999999994,0.073,0.012,-0.146,0.11599999999999999,0.084,-0.09300000000000001,0.028999999999999998,0.476
82,-0.006,0.042,-0.02,0.026,-0.27699999999999997,-0.32799999999999996,0.024,0.099,0.057999999999999996,0.017,0.177,0.18899999999999997,-0.008,-0.099,0.043,-0.001,-0.11900000000000001,0.111,0.003,-0.1,-0.052000000000000005,0.05,0.463
82,0.005,-0.019,-0.006999999999999999,-0.005,-0.218,-0.21,-0.003,0.027999999999999997,0.061,-0.014,-0.036000000000000004,-0.055,0.015,-0.066,-0.057,-0.06,0.005,-0.223,-0.10400000000000001,-0.009000000000000001,0.098,-0.037000000000000005,0.22
82,-0.004,-0.049,-0.013000000000000001,-0.016,0.314,0.55,-0.057,-0.107,-0.121,0.007,-0.009000000000000001,0.013999999999999999,-0.017,-0.005,-0.023,-0.018000000000000002,-0.05,0.079,-0.122,0.013000000000000001,-0.031,-0.022000000000000002,0.5
