G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.154,-0.196,-0.155,-0.022,-0.061,0.044000000000000004,-0.04,-0.253,-0.26,0.005,-0.114,-0.071,-0.037,-0.003,-0.171,-0.135,-0.15,-0.174,-0.175,-0.10300000000000001,-0.166,-0.16899999999999998,0.41
72,0.092,0.076,0.055999999999999994,0.009,0.342,0.155,0.055,-0.006999999999999999,0.009000000000000001,-0.008,0.098,-0.027999999999999997,0.09,-0.125,0.12300000000000001,0.059000000000000004,0.057999999999999996,0.006,0.166,-0.015,0.006,0.10400000000000001,0.569
66,-0.193,-0.158,-0.18600000000000003,0.015,-0.233,-0.22699999999999998,-0.003,-0.132,-0.165,0.019,-0.275,-0.20800000000000002,-0.064,-0.07200000000000001,-0.191,-0.163,-0.115,-0.095,-0.258,-0.17800000000000002,-0.145,-0.18600000000000003,0.318
82,-0.003,-0.06,0.006999999999999999,-0.031,0.223,0.265,-0.012,-0.132,-0.087,-0.025,0.21100000000000002,0.256,-0.028,-0.002,0.021,0.016,-0.139,0.009000000000000001,0.002,-0.046,0.018000000000000002,0.001,0.207
82,-0.001,0.027999999999999997,-0.009000000000000001,0.016,-0.044000000000000004,-0.053,0.003,0.048,0.009000000000000001,0.019,-0.102,-0.10099999999999999,-0.001,-0.126,0.011000000000000001,-0.026000000000000002,0.071,-0.05,-0.075,0.06,0.008,0.001,0.354
82,0.003,0.073,0.054000000000000006,0.008,0.154,0.14800000000000002,0.002,0.053,0.021,0.015,-0.033,-0.013000000000000001,-0.017,0.156,-0.023,0.019,0.062,0.244,-0.024,0.036000000000000004,0.032,0.061,0.378
82,-0.003,0.049,0.024,0.01,0.08900000000000001,0.092,-0.001,0.039,0.002,0.017,0.165,0.113,0.036,-0.02,0.141,0.099,-0.037000000000000005,-0.188,0.22,-0.08900000000000001,-0.086,0.07,0.39
82,0.0,-0.048,-0.002,-0.021,-0.262,-0.20800000000000002,-0.025,0.024,0.087,-0.028,-0.047,-0.057,0.008,-0.003,0.002,0.001,0.064,-0.08900000000000001,0.040999999999999995,0.135,-0.026000000000000002,-0.068,0.207
82,0.006,0.01,0.006999999999999999,0.001,-0.14800000000000002,-0.14,-0.003,0.077,0.08900000000000001,-0.005,-0.032,-0.034,0.002,-0.022000000000000002,0.0,-0.006,0.039,-0.061,0.248,0.076,0.1,-0.013999999999999999,0.451
82,0.23800000000000002,0.267,0.254,0.005,0.723,0.542,0.04,0.139,0.13699999999999998,0.001,0.084,0.057999999999999996,0.018,0.198,0.21100000000000002,0.207,0.18899999999999997,0.08,0.065,-0.064,0.18600000000000003,0.26899999999999996,0.659
66,-0.19399999999999998,-0.247,-0.223,-0.014,-0.324,-0.261,-0.031,-0.222,-0.207,-0.01,-0.28300000000000003,-0.217,-0.068,-0.12300000000000001,-0.185,-0.16899999999999998,-0.244,-0.005,-0.419,-0.06,-0.20199999999999999,-0.261,0.545
82,-0.005,0.004,-0.001,0.002,0.03,-0.03,0.021,-0.004,0.012,-0.008,0.22699999999999998,0.18600000000000003,0.027,0.013000000000000001,-0.003,0.001,-0.008,0.067,0.557,-0.022000000000000002,0.064,0.043,0.512
82,0.004,-0.01,-0.03,0.01,-0.09699999999999999,-0.061,-0.014,0.021,-0.016,0.018,-0.077,-0.07400000000000001,-0.002,-0.08199999999999999,-0.027000000000000003,-0.040999999999999995,0.02,-0.039,0.495,-0.022000000000000002,-0.02,-0.028999999999999998,0.354
82,-0.004,0.064,0.049,0.006,0.68,0.5710000000000001,0.023,-0.057999999999999996,-0.094,0.018,-0.022000000000000002,-0.09300000000000001,0.057,-0.115,0.036000000000000004,-0.009000000000000001,0.136,0.171,-0.042,-0.011000000000000001,-0.051,0.085,0.39
82,-0.006,0.022000000000000002,0.063,-0.018,0.034,0.061,-0.009,0.02,0.064,-0.02,-0.111,-0.126,0.012,-0.003,-0.023,-0.017,-0.001,-0.040999999999999995,-0.18100000000000002,-0.155,-0.08900000000000001,-0.006,0.28
82,0.004,0.028999999999999998,0.024,0.002,0.48100000000000004,0.55,-0.016,-0.028999999999999998,-0.063,0.017,-0.087,-0.07400000000000001,-0.011,-0.002,0.066,0.045,0.044000000000000004,-0.022000000000000002,-0.040999999999999995,-0.03,-0.10400000000000001,0.019,0.402
82,0.003,-0.052000000000000005,-0.06,0.003,-0.27399999999999997,-0.287,0.006,-0.013999999999999999,-0.006999999999999999,-0.003,0.18899999999999997,0.256,-0.041,0.07200000000000001,-0.013999999999999999,0.011000000000000001,-0.11800000000000001,-0.11800000000000001,0.042,0.203,0.111,-0.017,0.28
82,0.0,0.034,0.013000000000000001,0.009,0.086,0.11199999999999999,-0.008,0.025,-0.006999999999999999,0.015,0.15,0.18899999999999997,-0.026,0.016,-0.059000000000000004,-0.039,-0.018000000000000002,0.035,-0.335,-0.066,0.024,0.057999999999999996,0.402
