G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.151,-0.177,-0.13699999999999998,-0.02,-0.172,-0.10099999999999999,-0.027,-0.179,-0.161,-0.011,-0.19,-0.23,0.037,-0.106,-0.155,-0.14400000000000002,-0.171,-0.079,-0.10800000000000001,-0.289,-0.14400000000000002,-0.17800000000000002,0.311
72,-0.004,-0.028999999999999998,0.03,-0.027,0.113,0.165,-0.016,-0.081,-0.044000000000000004,-0.02,-0.217,-0.14,-0.071,0.20600000000000002,0.028999999999999998,0.063,0.017,-0.084,-0.105,0.17800000000000002,-0.061,-0.049,0.306
72,-0.122,-0.177,-0.201,0.014,-0.174,-0.18899999999999997,0.007,-0.17800000000000002,-0.20800000000000002,0.019,-0.027000000000000003,-0.128,0.083,-0.425,-0.14300000000000002,-0.217,-0.185,-0.282,-0.16899999999999998,-0.139,-0.244,-0.153,0.611
82,0.001,0.069,0.067,0.001,0.057999999999999996,0.075,-0.006,0.073,0.063,0.005,0.027999999999999997,0.032,-0.003,0.006999999999999999,0.09,0.067,0.095,0.031,0.032,-0.002,0.113,0.061,0.598
82,0.001,0.011000000000000001,0.006999999999999999,0.001,0.273,0.177,0.027,-0.061,-0.064,0.002,-0.098,-0.061,-0.03,0.022000000000000002,-0.053,-0.033,0.017,0.147,0.01,-0.067,-0.036000000000000004,0.012,0.585
82,-0.001,-0.04,0.012,-0.025,0.021,0.08800000000000001,-0.022,-0.055,-0.016,-0.021,-0.025,0.022000000000000002,-0.036,-0.064,-0.033,-0.040999999999999995,-0.086,0.075,-0.162,-0.057,0.013999999999999999,-0.033,0.573
82,0.0,0.059000000000000004,-0.005,0.029,0.073,0.043,0.01,0.055999999999999994,-0.022000000000000002,0.039,0.06,0.023,0.027,0.018000000000000002,0.025,0.023,0.12,0.008,0.073,0.083,-0.075,0.06,0.671
82,0.001,-0.003,0.05,-0.024,-0.048,0.013999999999999999,-0.022,0.009000000000000001,0.063,-0.026,-0.078,-0.016,-0.051,0.18600000000000003,0.023,0.062,-0.063,-0.11800000000000001,-0.094,-0.040999999999999995,-0.016,-0.021,0.549
82,-0.001,0.022000000000000002,0.043,-0.01,0.11,0.158,-0.016,0.001,0.005,-0.002,-0.091,-0.066,-0.023,0.039,0.021,0.025,0.023,-0.001,-0.19699999999999998,0.002,0.12300000000000001,0.004,0.72
82,0.24,0.27,0.244,0.01,0.267,0.20600000000000002,0.018,0.27,0.257,0.006,0.294,0.259,0.022,0.17600000000000002,0.263,0.24100000000000002,0.43200000000000005,0.363,0.158,0.161,0.223,0.27399999999999997,0.732
66,-0.201,-0.19699999999999998,-0.209,0.007,-0.031,-0.061,0.011,-0.228,-0.249,0.013,-0.289,-0.27399999999999997,-0.017,-0.196,-0.172,-0.17800000000000002,-0.268,-0.239,0.107,-0.067,-0.264,-0.209,0.712
82,0.01,0.001,-0.003,0.002,0.165,0.142,0.007,-0.025,-0.036000000000000004,0.006,0.11199999999999999,0.086,0.019,-0.059000000000000004,-0.001,-0.017,0.02,0.0,0.012,-0.057999999999999996,0.053,0.033,0.671
82,0.0,0.021,-0.013000000000000001,0.016,0.27399999999999997,0.295,-0.006,-0.01,-0.064,0.027,0.09300000000000001,0.068,0.019,-0.039,0.044000000000000004,0.02,-0.013999999999999999,0.076,0.29600000000000004,-0.077,0.053,0.047,0.61
82,-0.001,-0.04,-0.045,0.002,0.048,0.011000000000000001,0.012,-0.05,-0.054000000000000006,0.002,0.132,0.109,0.016,0.028999999999999998,-0.071,-0.045,-0.049,0.145,-0.07200000000000001,0.015,-0.015,-0.006,0.28
82,0.0,0.026000000000000002,0.061,-0.015,-0.40399999999999997,-0.353,-0.028,0.115,0.177,-0.026,-0.05,-0.024,-0.021,0.046,0.158,0.126,0.031,-0.158,0.32899999999999996,0.033,-0.067,-0.016,0.244
