G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.14,-0.142,-0.153,0.006,-0.055,-0.02,-0.012,-0.17600000000000002,-0.22699999999999998,0.032,-0.191,-0.20199999999999999,0.011,-0.245,-0.155,-0.17600000000000002,-0.081,-0.135,-0.091,-0.015,-0.015,-0.14,0.242
72,-0.013999999999999999,-0.040999999999999995,-0.006999999999999999,-0.015,-0.028999999999999998,-0.027999999999999997,-0.0,-0.046,0.005,-0.025,-0.067,-0.068,0.001,-0.005,0.011000000000000001,0.006999999999999999,-0.10099999999999999,-0.172,-0.19699999999999998,-0.013999999999999999,-0.07400000000000001,-0.044000000000000004,0.292
73,-0.11199999999999999,-0.134,-0.115,-0.01,-0.139,-0.106,-0.013,-0.132,-0.12,-0.007,0.040999999999999995,0.051,-0.007,-0.086,-0.139,-0.128,-0.166,0.10300000000000001,-0.11,-0.134,-0.125,-0.11,0.452
82,0.003,0.042,0.038,0.002,0.11,0.095,0.005,0.018000000000000002,0.008,0.005,-0.031,-0.061,0.024,0.139,0.078,0.091,0.091,-0.127,0.11199999999999999,-0.092,-0.034,0.038,0.512
82,-0.004,0.013999999999999999,-0.013000000000000001,0.012,0.204,0.124,0.023,-0.040999999999999995,-0.071,0.016,-0.028999999999999998,-0.043,0.011,-0.105,-0.015,-0.036000000000000004,0.055,0.07200000000000001,0.01,0.09300000000000001,-0.003,0.023,0.305
82,-0.005,-0.032,0.002,-0.015,0.102,0.177,-0.022,-0.064,-0.057999999999999996,-0.003,0.048,0.063,-0.011,-0.043,0.009000000000000001,-0.003,-0.057999999999999996,-0.138,-0.05,-0.055,-0.069,-0.01,0.354
82,0.008,0.054000000000000006,0.048,0.002,0.14800000000000002,0.138,0.003,0.033,0.021,0.006,0.095,0.054000000000000006,0.028,0.026000000000000002,0.039,0.036000000000000004,0.142,0.04,0.32799999999999996,-0.054000000000000006,-0.008,0.067,0.427
82,-0.01,0.018000000000000002,0.001,0.007,-0.016,0.001,-0.006,0.026000000000000002,0.001,0.012,-0.127,-0.087,-0.033,0.035,-0.018000000000000002,-0.006,-0.02,0.027000000000000003,-0.10300000000000001,-0.001,0.021,-0.008,0.305
82,0.009000000000000001,-0.023,-0.017,-0.003,0.113,0.038,0.024,-0.049,-0.033,-0.008,0.27399999999999997,0.261,0.008,-0.10800000000000001,0.016,-0.015,-0.077,0.193,-0.022000000000000002,0.026000000000000002,0.055,0.025,0.28
82,0.239,0.36,0.337,0.007,-0.245,-0.139,-0.046,0.612,0.589,0.007,0.031,-0.099,0.095,0.19899999999999998,0.268,0.25,0.41600000000000004,0.171,0.302,0.21,0.36200000000000004,0.242,0.244
