G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.168,-0.20800000000000002,-0.185,-0.013,-0.185,-0.145,-0.017,-0.21600000000000003,-0.207,-0.006,-0.213,-0.26,0.049,-0.298,-0.19399999999999998,-0.217,-0.183,-0.295,-0.264,-0.284,-0.203,-0.20600000000000002,0.617
72,-0.009000000000000001,-0.006,-0.025,0.009,-0.044000000000000004,-0.06,0.006,0.008,-0.005,0.007,0.14,0.121,0.013,-0.055,-0.012,-0.022000000000000002,-0.094,0.11800000000000001,0.149,0.003,-0.048,0.012,0.681
73,-0.11199999999999999,-0.11900000000000001,-0.113,-0.004,-0.046,-0.068,0.008,-0.145,-0.136,-0.006,-0.29,-0.275,-0.017,-0.14300000000000002,-0.156,-0.153,-0.146,-0.033,-0.1,-0.152,-0.124,-0.14400000000000002,0.589
82,0.001,0.017,0.019,-0.001,-0.013000000000000001,0.012,-0.009,0.028999999999999998,0.023,0.003,0.24,0.209,0.019,-0.001,0.01,0.006999999999999999,-0.006,-0.111,0.028999999999999998,-0.096,-0.036000000000000004,0.049,0.622
82,-0.003,0.085,0.015,0.03,0.084,0.001,0.028,0.085,0.023,0.03,0.009000000000000001,0.034,-0.019,0.107,0.107,0.107,0.14,-0.013999999999999999,0.0,-0.01,0.01,0.07200000000000001,0.634
82,0.001,0.04,0.015,0.01,0.08800000000000001,0.083,0.001,0.023,-0.018000000000000002,0.02,0.085,-0.024,0.077,0.039,0.039,0.039,0.10400000000000001,0.018000000000000002,-0.152,0.017,0.006999999999999999,0.052000000000000005,0.341
82,0.0,0.07400000000000001,0.016,0.023,0.10400000000000001,0.044000000000000004,0.018,0.064,0.003,0.027,-0.027000000000000003,-0.053,0.018,-0.20600000000000002,0.027000000000000003,-0.038,0.049,-0.138,0.016,-0.076,0.001,0.059000000000000004,0.122
82,-0.003,-0.11,-0.052000000000000005,-0.027,0.19899999999999998,0.16899999999999998,0.008,-0.18100000000000002,-0.129,-0.028,-0.031,0.018000000000000002,-0.034,0.031,-0.008,0.003,-0.06,0.031,0.47600000000000003,0.05,-0.036000000000000004,-0.075,0.22
82,0.005,0.016,0.037000000000000005,-0.009,0.114,0.284,-0.048,-0.004,-0.027999999999999997,0.012,0.35700000000000004,0.39299999999999996,-0.019,0.059000000000000004,0.025,0.034,-0.040999999999999995,0.256,-0.141,0.293,0.225,0.067,0.232
82,0.24100000000000002,0.23800000000000002,0.25,-0.004,0.484,0.493,-0.002,0.19699999999999998,0.19899999999999998,-0.0,0.129,0.149,-0.013,0.273,0.163,0.19,0.285,0.158,0.129,0.45,0.301,0.23600000000000002,0.415
66,-0.201,-0.209,-0.18600000000000003,-0.013,-0.212,-0.228,0.007,-0.209,-0.17600000000000002,-0.019,-0.377,-0.353,-0.028,-0.172,-0.168,-0.16899999999999998,-0.21899999999999997,-0.153,-0.042,-0.306,-0.273,-0.239,0.53
82,0.006,0.012,0.01,0.001,-0.065,-0.096,0.012,0.026000000000000002,0.038,-0.006,0.044000000000000004,0.024,0.015,-0.09699999999999999,0.065,0.02,0.08,-0.069,-0.191,-0.10800000000000001,-0.051,0.013000000000000001,0.5
82,0.003,0.03,0.027000000000000003,0.002,0.39,0.28800000000000003,0.025,-0.016,-0.025,0.004,-0.17300000000000001,-0.184,0.01,-0.094,0.036000000000000004,-0.004,0.046,0.013999999999999999,0.057999999999999996,0.03,0.016,0.003,0.329
82,0.0,-0.019,-0.017,-0.001,0.129,0.126,0.001,-0.036000000000000004,-0.040999999999999995,0.003,0.095,0.037000000000000005,0.039,-0.026000000000000002,-0.013999999999999999,-0.018000000000000002,-0.016,-0.076,0.038,-0.013000000000000001,0.019,0.008,0.5
82,-0.006,0.042,0.037000000000000005,0.002,0.063,0.157,-0.028,0.04,0.02,0.009,-0.078,0.001,-0.061,0.187,0.006999999999999999,0.057,0.002,0.207,0.026000000000000002,-0.068,-0.031,0.018000000000000002,0.488
82,-0.001,-0.023,-0.021,-0.001,-0.243,-0.20199999999999999,-0.019,0.008,0.013000000000000001,-0.002,-0.075,-0.084,0.007,0.03,-0.03,-0.013999999999999999,0.01,-0.094,-0.035,0.085,-0.024,-0.044000000000000004,0.427
82,0.003,0.019,-0.027999999999999997,0.021,-0.257,-0.29,0.016,0.076,0.044000000000000004,0.014,0.023,0.062,-0.029,-0.04,-0.044000000000000004,-0.043,-0.033,-0.139,0.259,-0.09,-0.08800000000000001,0.002,0.463
82,0.0,0.098,0.076,0.009,0.49,0.465,0.006,0.042,0.003,0.017,0.145,0.092,0.036,-0.034,0.053,0.028999999999999998,0.043,0.156,-0.10300000000000001,-0.025,0.10400000000000001,0.127,0.524
82,0.0,-0.098,-0.057,-0.02,0.384,0.26,0.03,-0.142,-0.1,-0.022,-0.134,-0.10800000000000001,-0.022,-0.09699999999999999,-0.003,-0.031,-0.07400000000000001,-0.225,0.261,0.078,-0.057,-0.091,0.402
82,0.006,0.061,0.032,0.012,0.145,0.10099999999999999,0.012,0.054000000000000006,0.023,0.014,0.065,0.071,-0.004,-0.046,-0.047,-0.047,0.081,0.19699999999999998,-0.218,-0.035,0.09699999999999999,0.064,0.585
82,-0.006,-0.034,-0.008,-0.012,-0.183,-0.11,-0.027,-0.019,0.006999999999999999,-0.012,-0.034,-0.076,0.034,0.016,-0.025,-0.013000000000000001,-0.032,0.022000000000000002,-0.11,-0.027999999999999997,-0.017,-0.039,0.683
