G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.161,-0.156,-0.141,-0.008,-0.264,-0.22899999999999998,-0.017,-0.109,-0.085,-0.015,-0.132,-0.086,-0.042,-0.037000000000000005,-0.111,-0.096,-0.151,0.01,-0.151,-0.124,-0.147,-0.165,0.803
72,-0.006999999999999999,0.037000000000000005,-0.011000000000000001,0.023,0.131,0.073,0.019,0.001,-0.059000000000000004,0.034,-0.225,-0.226,0.001,-0.115,-0.001,-0.027000000000000003,-0.024,-0.075,0.076,-0.162,-0.146,0.001,0.708
73,-0.115,-0.086,-0.10300000000000001,0.008,0.052000000000000005,-0.033,0.029,-0.13,-0.13699999999999998,0.005,0.003,-0.064,0.055,-0.048,-0.038,-0.04,0.015,-0.239,-0.306,-0.158,-0.16699999999999998,-0.059000000000000004,0.466
82,0.009000000000000001,0.043,0.003,0.018,0.035,0.05,-0.005,0.046,-0.019,0.032,-0.004,-0.053,0.038,-0.11199999999999999,-0.077,-0.085,0.12300000000000001,0.292,0.13,-0.008,0.069,0.034,0.232
82,-0.006,-0.036000000000000004,-0.016,-0.009,0.24100000000000002,0.233,0.002,-0.1,-0.102,0.001,-0.133,-0.091,-0.036,-0.13699999999999998,0.024,-0.019,0.087,-0.155,-0.073,0.019,-0.11,-0.035,0.256
82,0.006,0.07200000000000001,0.034,0.016,-0.16699999999999998,-0.125,-0.017,0.14800000000000002,0.10300000000000001,0.019,0.171,0.133,0.025,0.035,-0.008,0.003,-0.057,0.065,0.275,-0.10300000000000001,0.09300000000000001,0.068,0.293
82,-0.009000000000000001,-0.04,-0.003,-0.017,0.057,0.034,0.008,-0.067,-0.018000000000000002,-0.025,0.066,0.078,-0.009,0.052000000000000005,0.034,0.039,0.025,-0.09699999999999999,-0.187,0.139,0.065,-0.015,0.28
82,0.006,0.002,0.027999999999999997,-0.012,-0.08800000000000001,-0.003,-0.031,0.03,0.042,-0.006,-0.11599999999999999,-0.11800000000000001,0.002,-0.034,0.016,0.003,0.061,0.017,0.028999999999999998,-0.016,-0.03,-0.027000000000000003,0.476
82,-0.003,0.036000000000000004,-0.01,0.021,0.594,0.41200000000000003,0.042,-0.067,-0.12300000000000001,0.03,0.264,0.239,0.015,-0.032,0.06,0.034,-0.157,0.044000000000000004,-0.138,-0.016,0.065,0.106,0.585
82,0.25,0.22699999999999998,0.27,-0.016,0.081,0.124,-0.013,0.258,0.316,-0.022,0.13699999999999998,0.158,-0.014,0.33799999999999997,0.20600000000000002,0.24,0.248,0.529,0.18600000000000003,0.377,0.369,0.20199999999999999,0.305
