G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
61,-0.153,-0.20199999999999999,-0.19,-0.007,-0.282,-0.213,-0.034,-0.154,-0.172,0.011,-0.209,-0.146,-0.061,-0.185,-0.159,-0.166,-0.091,-0.06,-0.22899999999999998,0.064,-0.095,-0.214,0.41
72,-0.03,-0.048,-0.027999999999999997,-0.009,0.18899999999999997,0.16399999999999998,0.008,-0.152,-0.14300000000000002,-0.005,-0.023,-0.045,0.019,0.016,-0.061,-0.044000000000000004,0.004,0.067,-0.195,-0.155,-0.152,-0.017,0.583
74,-0.102,-0.1,-0.091,-0.005,0.053,0.002,0.018,-0.154,-0.139,-0.009,-0.158,-0.147,-0.01,-0.22,-0.124,-0.14800000000000002,-0.192,-0.14800000000000002,0.092,-0.16699999999999998,-0.038,-0.095,0.473
82,0.005,0.077,0.040999999999999995,0.015,0.07,0.092,-0.007,0.08,0.017,0.03,0.136,0.11599999999999999,0.014,0.158,0.026000000000000002,0.055999999999999994,0.18,-0.047,-0.024,0.023,0.044000000000000004,0.086,0.646
82,-0.009000000000000001,-0.006,0.01,-0.008,-0.008,0.016,-0.009,-0.006,0.008,-0.007,-0.09300000000000001,-0.11599999999999999,0.02,0.006,0.052000000000000005,0.040999999999999995,-0.077,-0.002,0.037000000000000005,-0.015,-0.079,-0.021,0.598
82,0.006,0.024,0.003,0.01,-0.013999999999999999,-0.027000000000000003,0.005,0.038,0.018000000000000002,0.01,0.062,0.027000000000000003,0.026,-0.124,-0.012,-0.04,-0.009000000000000001,0.021,0.07400000000000001,-0.062,-0.026000000000000002,0.027000000000000003,0.5
82,-0.003,-0.003,-0.001,-0.001,0.071,0.047,0.008,-0.027000000000000003,-0.024,-0.002,0.11900000000000001,0.18899999999999997,-0.047,0.078,-0.034,-0.008,-0.027999999999999997,0.07,0.022000000000000002,0.07400000000000001,0.193,0.023,0.537
82,0.0,-0.01,-0.012,0.001,0.048,0.077,-0.01,-0.027999999999999997,-0.048,0.01,-0.18899999999999997,-0.175,-0.014,-0.14,0.034,-0.013000000000000001,-0.055,0.156,-0.039,-0.006999999999999999,-0.052000000000000005,-0.037000000000000005,0.622
82,0.0,0.066,0.062,0.001,0.14400000000000002,0.08800000000000001,0.018,0.043,0.052000000000000005,-0.004,0.203,0.146,0.038,0.16899999999999998,0.126,0.13699999999999998,0.067,-0.156,0.096,-0.065,0.038,0.095,0.659
82,0.244,0.253,0.24,0.005,0.408,0.37799999999999995,0.008,0.214,0.192,0.009,0.151,0.18100000000000002,-0.02,0.18899999999999997,0.26899999999999996,0.247,0.322,0.019,0.096,0.287,0.213,0.24600000000000002,0.402
66,-0.19399999999999998,-0.18600000000000003,-0.179,-0.004,-0.077,-0.081,0.001,-0.209,-0.20800000000000002,-0.001,-0.23199999999999998,-0.225,-0.008,-0.262,-0.126,-0.168,-0.223,-0.2,-0.10099999999999999,-0.126,-0.21100000000000002,-0.188,0.424
82,-0.003,-0.008,0.023,-0.014,0.055,0.083,-0.009,-0.02,0.006,-0.013,-0.081,-0.09699999999999999,0.014,0.091,-0.064,-0.021,0.037000000000000005,0.262,0.023,0.057,-0.076,-0.019,0.585
82,0.001,-0.015,-0.006,-0.004,-0.17600000000000002,-0.107,-0.03,0.025,0.026000000000000002,-0.0,0.055999999999999994,0.023,0.025,-0.139,0.01,-0.036000000000000004,0.004,-0.049,-0.129,-0.040999999999999995,0.026000000000000002,-0.013000000000000001,0.61
