G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
63,-0.122,-0.16399999999999998,-0.12300000000000001,-0.022,-0.16899999999999998,-0.11900000000000001,-0.021,-0.162,-0.126,-0.023,-0.078,-0.10300000000000001,0.021,-0.055999999999999994,-0.085,-0.079,-0.19399999999999998,-0.168,-0.182,-0.071,-0.133,-0.152,0.365
72,-0.009000000000000001,0.042,0.003,0.018,-0.044000000000000004,-0.044000000000000004,0.0,0.081,0.033,0.024,0.048,0.083,-0.025,-0.03,-0.027000000000000003,-0.027999999999999997,0.07200000000000001,-0.023,0.222,-0.077,-0.122,0.033,0.431
72,-0.115,-0.16899999999999998,-0.16699999999999998,-0.001,-0.013999999999999999,0.023,-0.014,-0.22399999999999998,-0.256,0.022,-0.168,-0.215,0.044,-0.233,-0.159,-0.177,-0.17800000000000002,-0.18100000000000002,-0.193,-0.047,-0.08900000000000001,-0.153,0.431
82,-0.001,0.114,0.081,0.014,0.256,0.248,0.002,0.071,0.017,0.025,0.34299999999999997,0.36,-0.009,0.166,0.09300000000000001,0.11,0.17800000000000002,0.055999999999999994,0.068,-0.027000000000000003,0.068,0.155,0.476
82,-0.006,0.024,0.049,-0.011,0.001,0.004,-0.001,0.031,0.067,-0.017,-0.32,-0.28300000000000003,-0.04,0.087,-0.027999999999999997,-0.004,-0.040999999999999995,0.026000000000000002,0.049,-0.063,-0.017,-0.039,0.329
82,0.004,-0.054000000000000006,-0.049,-0.002,0.11699999999999999,0.066,0.017,-0.09699999999999999,-0.09,-0.004,-0.02,-0.084,0.05,-0.17600000000000002,-0.039,-0.07200000000000001,-0.08199999999999999,-0.145,-0.12,-0.094,-0.005,-0.035,0.39
82,-0.003,0.091,0.07,0.009,0.43200000000000005,0.36200000000000004,0.017,0.028999999999999998,-0.004,0.016,-0.172,-0.13,-0.037,-0.03,0.012,0.001,0.205,0.33299999999999996,0.136,-0.005,-0.012,0.052000000000000005,0.402
82,0.001,-0.005,-0.022000000000000002,0.008,-0.061,-0.085,0.009,0.006,-0.005,0.005,0.077,0.073,0.003,-0.096,0.027000000000000003,-0.006,0.078,-0.063,0.019,0.067,-0.083,0.008,0.354
82,0.0,-0.019,-0.02,0.0,-0.195,-0.12300000000000001,-0.03,0.024,0.013000000000000001,0.005,0.182,0.19699999999999998,-0.01,0.05,0.114,0.096,-0.094,-0.125,-0.07,0.042,0.077,0.003,0.341
82,0.24600000000000002,0.239,0.209,0.011,0.484,0.292,0.047,0.191,0.184,0.003,0.275,0.22,0.033,0.069,0.225,0.17600000000000002,0.344,0.196,0.059000000000000004,0.259,0.33399999999999996,0.261,0.341
