G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
62,-0.142,-0.10099999999999999,-0.111,0.005,-0.038,-0.048,0.004,-0.121,-0.14,0.012,-0.3,-0.256,-0.046,0.03,-0.14800000000000002,-0.111,-0.005,-0.051,-0.156,-0.040999999999999995,-0.131,-0.126,0.387
72,0.015,0.006,0.026000000000000002,-0.009,-0.057999999999999996,0.012,-0.026,0.027999999999999997,0.033,-0.002,-0.07,-0.048,-0.018,0.045,-0.016,-0.004,0.005,-0.025,-0.062,-0.083,-0.061,-0.012,0.458
71,-0.131,-0.136,-0.124,-0.007,-0.064,-0.024,-0.016,-0.159,-0.16399999999999998,0.003,-0.043,-0.033,-0.009,-0.155,-0.131,-0.136,-0.13,0.034,0.01,-0.098,-0.07400000000000001,-0.11599999999999999,0.451
82,0.004,0.083,0.036000000000000004,0.021,0.16699999999999998,0.048,0.04,0.06,0.031,0.014,0.063,0.003,0.047,-0.10800000000000001,0.048,0.011000000000000001,0.078,-0.20199999999999999,-0.161,-0.08,0.055999999999999994,0.087,0.585
82,-0.004,-0.006,0.02,-0.012,-0.076,0.026000000000000002,-0.039,0.015,0.017,-0.001,-0.081,-0.05,-0.025,0.034,0.0,0.008,-0.044000000000000004,-0.040999999999999995,-0.05,-0.021,-0.06,-0.025,0.573
82,0.005,-0.02,0.01,-0.014,0.321,0.26899999999999996,0.015,-0.092,-0.065,-0.015,0.073,0.08,-0.005,0.066,-0.019,-0.001,-0.027999999999999997,-0.032,-0.002,0.027999999999999997,0.045,0.017,0.744
82,-0.013000000000000001,0.025,-0.008,0.016,-0.158,-0.17800000000000002,0.009,0.07400000000000001,0.054000000000000006,0.01,-0.019,-0.047,0.023,-0.045,0.021,0.006,0.005,0.03,0.092,-0.065,-0.084,0.003,0.817
82,0.01,-0.035,0.001,-0.018,-0.03,0.051,-0.031,-0.037000000000000005,-0.016,-0.011,0.061,0.068,-0.005,0.057999999999999996,-0.005,0.008,-0.031,0.08800000000000001,0.057,-0.028999999999999998,0.046,-0.021,0.671
82,-0.006,0.036000000000000004,0.025,0.005,0.053,-0.004,0.021,0.032,0.036000000000000004,-0.002,-0.055999999999999994,-0.048,-0.006,0.14400000000000002,0.024,0.048,0.003,-0.131,-0.057999999999999996,-0.022000000000000002,0.048,0.023,0.756
82,0.247,0.22899999999999998,0.222,0.003,0.201,0.256,-0.017,0.237,0.21,0.011,0.27899999999999997,0.209,0.044,-0.025,0.264,0.19399999999999998,0.34700000000000003,0.418,0.522,0.34700000000000003,0.248,0.235,0.707
66,-0.19399999999999998,-0.171,-0.17600000000000002,0.003,-0.19399999999999998,-0.18600000000000003,-0.004,-0.16399999999999998,-0.172,0.005,-0.298,-0.281,-0.019,-0.17600000000000002,-0.17300000000000001,-0.174,-0.168,-0.18600000000000003,-0.212,-0.187,-0.265,-0.195,0.758
82,0.0,-0.001,-0.005,0.002,0.23600000000000002,0.11599999999999999,0.039,-0.051,-0.040999999999999995,-0.005,0.043,0.008,0.026,-0.065,-0.006999999999999999,-0.022000000000000002,0.004,0.16699999999999998,-0.024,-0.013000000000000001,-0.068,0.023,0.744
82,-0.006,0.036000000000000004,0.019,0.007,-0.114,-0.045,-0.028,0.07400000000000001,0.04,0.016,0.16699999999999998,0.2,-0.021,0.218,-0.006,0.042,0.054000000000000006,0.08900000000000001,0.158,0.159,0.08,0.044000000000000004,0.61
82,0.009000000000000001,0.035,0.017,0.008,0.052000000000000005,0.006,0.017,0.031,0.021,0.005,-0.075,-0.075,0.0,-0.055999999999999994,0.01,-0.005,0.01,-0.09,-0.024,-0.07,0.006,0.018000000000000002,0.659
82,-0.003,-0.02,0.015,-0.017,-0.002,0.031,-0.012,-0.025,0.01,-0.017,-0.092,-0.10400000000000001,0.01,0.013000000000000001,0.013999999999999999,0.013000000000000001,-0.053,-0.11199999999999999,-0.192,-0.09,-0.032,-0.032,0.683
82,-0.001,0.002,-0.002,0.002,0.135,0.146,-0.004,-0.026000000000000002,-0.043,0.009,0.12,0.047,0.049,-0.106,0.011000000000000001,-0.018000000000000002,0.055999999999999994,0.081,-0.107,0.01,-0.07400000000000001,0.031,0.707
82,0.0,0.024,-0.017,0.019,0.034,-0.024,0.021,0.022000000000000002,-0.015,0.018,-0.136,-0.10800000000000001,-0.022,-0.138,0.024,-0.022000000000000002,-0.03,-0.114,-0.14,0.0,-0.002,-0.006,0.768
82,0.003,0.028999999999999998,0.002,0.011,0.243,0.22399999999999998,0.006,-0.006999999999999999,-0.045,0.018,0.08900000000000001,0.025,0.043,-0.040999999999999995,-0.067,-0.06,0.057,-0.073,0.011000000000000001,-0.064,0.03,0.052000000000000005,0.72
82,-0.004,-0.023,0.022000000000000002,-0.02,-0.091,-0.102,0.004,-0.01,0.053,-0.029,-0.114,-0.057,-0.044,0.096,0.044000000000000004,0.057999999999999996,0.024,0.051,0.015,-0.071,-0.003,-0.045,0.695
82,-0.001,-0.002,-0.01,0.004,0.025,0.049,-0.008,-0.006,-0.024,0.009,-0.046,-0.024,-0.017,0.035,-0.004,0.006,-0.004,0.006,-0.015,0.09699999999999999,0.062,-0.01,0.732
82,0.001,0.01,0.016,-0.003,-0.016,0.107,-0.045,0.015,-0.003,0.008,-0.003,-0.039,0.027,0.006,-0.054000000000000006,-0.039,-0.076,0.1,-0.068,0.031,0.015,0.006,0.707
82,-0.001,-0.023,-0.02,-0.001,0.348,0.24,0.033,-0.07,-0.062,-0.004,0.013000000000000001,0.057,-0.031,-0.027000000000000003,0.017,0.006,-0.023,-0.075,0.045,-0.071,-0.096,0.0,0.646
82,0.644,0.6970000000000001,0.677,0.005,0.919,0.693,0.044,0.672,0.675,-0.001,0.672,0.565,0.048,0.51,0.6829999999999999,0.635,0.652,0.45799999999999996,0.57,0.625,0.6990000000000001,0.7,0.74
50,-0.391,-0.4,-0.384,-0.012,-0.43,-0.396,-0.02,-0.396,-0.382,-0.011,-0.336,-0.34600000000000003,0.01,-0.376,-0.4,-0.39299999999999996,-0.401,-0.184,-0.382,-0.424,-0.41700000000000004,-0.38799999999999996,0.683
82,0.005,0.025,-0.032,0.026,-0.201,-0.26899999999999996,0.03,0.06,0.022000000000000002,0.018,0.07400000000000001,0.122,-0.03,-0.106,0.239,0.121,0.107,-0.201,0.318,0.06,-0.019,0.023,0.244
82,-0.003,-0.102,-0.032,-0.034,-0.27,-0.106,-0.072,-0.069,-0.013000000000000001,-0.028,-0.16699999999999998,-0.147,-0.017,0.175,-0.177,-0.083,-0.187,0.002,-0.196,0.04,-0.031,-0.125,0.72
82,-0.004,-0.027000000000000003,-0.013000000000000001,-0.007,0.19399999999999998,0.14,0.018,-0.061,-0.045,-0.009,-0.094,-0.091,-0.003,-0.08900000000000001,-0.027999999999999997,-0.045,0.065,-0.017,0.175,-0.040999999999999995,-0.027000000000000003,-0.03,0.756
82,0.004,0.018000000000000002,-0.0,0.009,0.743,0.622,0.026,-0.043,-0.07400000000000001,0.016,0.15,0.156,-0.004,-0.135,0.025,-0.025,0.012,0.16899999999999998,0.013000000000000001,0.04,0.126,0.066,0.671
82,-0.004,-0.04,-0.011000000000000001,-0.014,0.055,0.032,0.008,-0.047,-0.016,-0.016,-0.11,-0.083,-0.022,0.294,0.022000000000000002,0.094,-0.057999999999999996,-0.036000000000000004,-0.125,-0.024,-0.099,-0.052000000000000005,0.598
82,0.004,-0.02,-0.046,0.013,1.0,0.713,0.049,-0.055999999999999994,-0.092,0.019,0.086,0.045,0.029,-0.252,-0.004,-0.085,0.001,-0.20199999999999999,-0.155,-0.062,0.025,0.015,0.573
82,-0.003,-0.009000000000000001,0.015,-0.012,0.457,0.36,0.019,-0.021,-0.001,-0.01,-0.12300000000000001,-0.087,-0.03,0.087,-0.04,-0.002,-0.061,0.08800000000000001,0.065,-0.095,-0.051,-0.028999999999999998,0.671
82,0.005,0.006,-0.001,0.004,0.5,0.314,0.034,-0.002,-0.012,0.005,-0.003,-0.03,0.021,-0.027999999999999997,0.07400000000000001,0.042,0.051,-0.161,0.031,0.033,0.023,0.006999999999999999,0.683
82,-0.001,-0.023,-0.055999999999999994,0.016,-0.14300000000000002,-0.22899999999999998,0.024,-0.021,-0.048,0.014,0.14400000000000002,0.071,0.047,-0.102,0.134,0.046,0.0,-0.16899999999999998,0.31,-0.183,-0.139,0.008,0.256
82,-0.003,-0.064,-0.02,-0.022,-0.526,-0.289,-0.108,-0.047,-0.004,-0.021,-0.067,-0.019,-0.036,0.094,-0.066,-0.012,-0.131,0.3,-0.096,0.207,0.081,-0.071,0.378
82,0.0,0.049,0.013999999999999999,0.017,0.13699999999999998,0.022000000000000002,0.032,0.046,0.013000000000000001,0.016,0.04,0.052000000000000005,-0.009,-0.079,-0.005,-0.031,0.055999999999999994,-0.06,0.44,0.009000000000000001,0.032,0.049,0.341
82,0.0,-0.018000000000000002,0.05,-0.032,1.5430000000000001,1.056,0.056,-0.038,0.021,-0.03,-0.096,-0.092,-0.004,0.20199999999999999,-0.027000000000000003,0.043,-0.018000000000000002,-0.018000000000000002,-0.16699999999999998,-0.134,-0.087,-0.026000000000000002,0.427
82,0.001,-0.027999999999999997,-0.013999999999999999,-0.007,-0.16399999999999998,-0.03,-0.038,-0.026000000000000002,-0.013000000000000001,-0.007,-0.04,-0.019,-0.017,-0.051,-0.023,-0.032,-0.024,0.057,-0.12,0.053,-0.03,-0.031,0.5
82,-0.01,-0.054000000000000006,-0.067,0.007,-0.304,-0.23199999999999998,-0.028,-0.049,-0.061,0.007,-0.002,-0.013000000000000001,0.008,-0.084,-0.023,-0.043,-0.019,0.105,-0.098,0.066,0.016,-0.046,0.451
82,0.01,0.057,0.052000000000000005,0.003,-0.16,-0.146,-0.005,0.063,0.061,0.001,0.040999999999999995,0.055,-0.01,-0.002,-0.027000000000000003,-0.019,0.044000000000000004,0.015,0.047,-0.038,0.024,0.052000000000000005,0.646
82,0.001,-0.0,-0.036000000000000004,0.018,0.469,0.222,0.051,-0.009000000000000001,-0.045,0.019,0.040999999999999995,0.057,-0.011,-0.017,0.024,0.011000000000000001,0.002,0.125,-0.155,0.163,-0.055,0.011000000000000001,0.585
82,-0.003,0.036000000000000004,0.046,-0.005,3.267,1.965,0.077,0.022000000000000002,0.024,-0.001,-0.11699999999999999,-0.125,0.007,-0.039,-0.017,-0.025,0.102,-0.124,-0.13699999999999998,-0.157,0.049,0.006999999999999999,0.5
82,0.003,-0.07400000000000001,-0.06,-0.008,-0.7120000000000001,-0.5870000000000001,-0.076,-0.065,-0.045,-0.011,0.013999999999999999,0.055,-0.032,0.131,0.027000000000000003,0.059000000000000004,-0.12,-0.11199999999999999,0.9309999999999999,-0.035,0.005,-0.059000000000000004,0.585
84,0.001,0.028999999999999998,0.005,0.012,-0.366,-0.172,-0.061,0.033,0.008,0.012,-0.011000000000000001,-0.013000000000000001,0.002,-0.106,0.045,-0.006999999999999999,0.14800000000000002,0.092,0.563,0.109,-0.005,0.019,0.536
84,-0.004,0.13,0.076,0.023,-0.196,-0.349,0.05,0.135,0.091,0.019,0.317,0.264,0.033,0.18,0.059000000000000004,0.098,0.034,0.158,0.6579999999999999,0.07200000000000001,-0.07,0.162,0.333
