G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.161,-0.153,-0.14400000000000002,-0.005,-0.292,-0.266,-0.013,-0.073,-0.046,-0.014,-0.25,-0.18600000000000003,-0.064,0.156,-0.18100000000000002,-0.105,-0.233,-0.10400000000000001,-0.27,-0.19,-0.222,-0.18600000000000003,0.55
72,-0.004,-0.013000000000000001,0.008,-0.01,0.046,0.063,-0.006,-0.044000000000000004,-0.032,-0.007,-0.057999999999999996,-0.08,0.019,-0.006999999999999999,-0.10400000000000001,-0.084,-0.045,-0.027999999999999997,0.087,-0.10800000000000001,-0.021,-0.013000000000000001,0.375
72,-0.126,-0.163,-0.133,-0.016,-0.02,-0.039,0.007,-0.222,-0.191,-0.021,-0.083,-0.07400000000000001,-0.008,-0.128,-0.115,-0.11800000000000001,-0.129,-0.065,-0.18100000000000002,-0.07200000000000001,-0.096,-0.135,0.736
82,0.003,0.023,0.019,0.002,0.049,0.024,0.008,0.012,0.016,-0.002,0.019,0.006999999999999999,0.009,-0.018000000000000002,0.04,0.027000000000000003,0.045,0.086,-0.126,0.05,-0.033,0.025,0.707
82,0.003,0.054000000000000006,0.036000000000000004,0.008,0.335,0.355,-0.005,-0.028999999999999998,-0.09300000000000001,0.036,-0.12,-0.11699999999999999,-0.002,-0.08199999999999999,0.049,0.017,0.315,-0.075,0.25,0.052000000000000005,0.044000000000000004,0.045,0.72
82,0.0,0.068,0.037000000000000005,0.013,0.024,0.042,-0.006,0.08199999999999999,0.035,0.022,-0.051,-0.07400000000000001,0.019,0.042,-0.018000000000000002,-0.004,-0.012,0.064,-0.109,-0.03,0.061,0.04,0.622
82,-0.004,-0.033,-0.023,-0.004,-0.025,-0.07,0.017,-0.035,-0.003,-0.016,0.07400000000000001,0.087,-0.01,-0.051,0.078,0.045,-0.09699999999999999,0.034,0.258,0.015,-0.06,-0.012,0.683
82,-0.005,0.039,0.017,0.01,0.018000000000000002,0.075,-0.02,0.045,-0.006999999999999999,0.025,-0.013999999999999999,-0.02,0.005,-0.057999999999999996,-0.01,-0.023,-0.021,0.066,0.040999999999999995,-0.08800000000000001,-0.09,0.027000000000000003,0.598
82,-0.001,0.004,0.005,-0.0,0.249,0.151,0.029,-0.054000000000000006,-0.044000000000000004,-0.005,0.115,0.122,-0.005,0.073,0.052000000000000005,0.057999999999999996,-0.016,-0.03,-0.125,0.031,0.025,0.042,0.585
82,0.251,0.313,0.297,0.006,0.564,0.5489999999999999,0.003,0.265,0.231,0.013,0.32899999999999996,0.299,0.018,0.25,0.17,0.19,0.27699999999999997,0.387,0.221,0.12300000000000001,0.198,0.332,0.415
66,-0.193,-0.27899999999999997,-0.237,-0.025,0.057999999999999996,-0.015,0.023,-0.32,-0.28,-0.028,-0.272,-0.28600000000000003,0.015,-0.276,-0.115,-0.162,-0.23,-0.262,-0.083,-0.17,-0.152,-0.263,0.348
