G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.17,-0.177,-0.187,0.006,-0.273,-0.221,-0.026,-0.11199999999999999,-0.154,0.027,-0.138,-0.11800000000000001,-0.017,-0.195,-0.209,-0.20600000000000002,-0.213,-0.091,-0.20199999999999999,-0.16699999999999998,-0.155,-0.185,0.633
72,0.0,0.028999999999999998,0.035,-0.002,0.251,0.221,0.009,-0.08199999999999999,-0.09699999999999999,0.009,-0.034,-0.057999999999999996,0.02,0.166,0.051,0.075,0.054000000000000006,0.08199999999999999,0.271,-0.061,-0.091,0.046,0.722
72,-0.121,-0.129,-0.134,0.003,-0.03,-0.09,0.024,-0.171,-0.163,-0.005,-0.17,-0.21600000000000003,0.043,-0.2,-0.136,-0.149,-0.243,-0.33899999999999997,-0.395,-0.122,-0.15,-0.125,0.611
82,0.0,0.055999999999999994,0.042,0.006,0.12,0.15,-0.01,0.031,-0.018000000000000002,0.026,0.12,0.185,-0.042,0.10800000000000001,0.062,0.07200000000000001,0.16,-0.064,0.15,0.028999999999999998,0.075,0.073,0.61
82,0.0,0.035,0.043,-0.004,0.121,0.14,-0.006,0.004,-0.003,0.004,-0.019,-0.057999999999999996,0.031,-0.04,0.012,0.001,0.114,0.287,0.024,0.078,0.040999999999999995,0.034,0.585
82,-0.01,0.026000000000000002,-0.012,0.017,0.14,0.08800000000000001,0.017,-0.009000000000000001,-0.054000000000000006,0.023,-0.001,-0.005,0.003,-0.124,0.040999999999999995,0.0,0.062,-0.128,-0.035,-0.087,-0.066,0.031,0.622
82,0.013000000000000001,0.02,0.016,0.002,0.138,0.098,0.012,-0.012,-0.016,0.002,0.008,-0.023,0.023,-0.109,0.018000000000000002,-0.017,-0.047,0.013000000000000001,-0.131,-0.025,0.045,0.027000000000000003,0.488
82,-0.004,-0.017,-0.024,0.003,0.12300000000000001,0.129,-0.002,-0.049,-0.07200000000000001,0.012,0.033,0.07,-0.025,0.09300000000000001,0.057,0.066,-0.019,0.09300000000000001,0.336,0.047,-0.068,0.001,0.463
82,-0.005,-0.031,-0.009000000000000001,-0.01,0.071,0.139,-0.022,-0.052000000000000005,-0.047,-0.002,-0.065,-0.042,-0.018,-0.086,0.008,-0.019,-0.105,-0.174,-0.289,-0.008,-0.028999999999999998,-0.031,0.305
82,0.23,0.207,0.213,-0.002,0.857,0.639,0.043,0.128,0.136,-0.003,0.14400000000000002,0.129,0.01,0.149,0.196,0.182,0.292,0.266,0.33799999999999997,0.293,0.214,0.222,0.524
