G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.16399999999999998,-0.225,-0.209,-0.009,-0.16,-0.111,-0.019,-0.245,-0.255,0.007,-0.302,-0.312,0.012,-0.207,-0.192,-0.195,-0.21100000000000002,-0.271,-0.006999999999999999,-0.225,-0.266,-0.23199999999999998,0.45
72,0.003,0.039,0.0,0.018,-0.152,-0.11,-0.017,0.11699999999999999,0.062,0.026,0.039,0.064,-0.018,-0.048,0.114,0.075,0.019,-0.08,-0.039,0.017,-0.048,0.019,0.472
72,-0.129,-0.135,-0.114,-0.011,-0.071,-0.141,0.028,-0.158,-0.098,-0.036,-0.076,-0.098,0.019,-0.078,-0.14300000000000002,-0.128,-0.16399999999999998,-0.16,-0.185,-0.11599999999999999,-0.039,-0.11900000000000001,0.347
82,0.004,0.055,0.053,0.001,0.14300000000000002,0.257,-0.034,0.026000000000000002,-0.039,0.035,0.094,0.099,-0.003,-0.035,-0.013000000000000001,-0.018000000000000002,0.043,0.059000000000000004,0.07400000000000001,-0.035,-0.026000000000000002,0.07,0.39
82,0.0,-0.033,-0.017,-0.008,0.077,0.07,0.002,-0.065,-0.051,-0.007,-0.03,-0.013999999999999999,-0.013,-0.024,0.016,0.006,0.055999999999999994,-0.069,0.051,0.028999999999999998,0.001,-0.024,0.524
82,0.005,0.046,0.015,0.014,0.066,0.024,0.015,0.040999999999999995,0.011000000000000001,0.015,0.053,-0.02,0.055,0.135,-0.006,0.024,-0.024,-0.021,0.04,-0.02,0.022000000000000002,0.049,0.598
82,-0.01,0.032,0.036000000000000004,-0.002,0.42700000000000005,0.436,-0.002,-0.043,-0.066,0.012,0.034,0.052000000000000005,-0.013,-0.138,-0.04,-0.063,0.018000000000000002,0.17800000000000002,-0.146,-0.038,0.001,0.055999999999999994,0.5
82,-0.005,-0.012,-0.019,0.003,-0.23199999999999998,-0.19,-0.02,0.044000000000000004,0.037000000000000005,0.003,0.042,0.025,0.012,-0.027000000000000003,0.08900000000000001,0.059000000000000004,0.031,-0.1,0.003,0.024,0.019,-0.021,0.561
82,0.01,0.092,0.034,0.024,0.187,0.14,0.015,0.07,0.003,0.03,-0.02,-0.018000000000000002,-0.002,-0.001,-0.03,-0.023,0.075,0.11699999999999999,0.003,-0.027000000000000003,-0.004,0.08,0.537
82,0.251,0.205,0.222,-0.006,0.584,0.391,0.045,0.14300000000000002,0.18100000000000002,-0.015,0.26899999999999996,0.26,0.005,0.145,0.34299999999999997,0.287,0.406,0.135,-0.098,0.228,0.196,0.237,0.354
66,-0.204,-0.20800000000000002,-0.205,-0.002,-0.122,-0.091,-0.012,-0.221,-0.22899999999999998,0.005,-0.32299999999999995,-0.307,-0.018,-0.235,-0.168,-0.188,-0.207,-0.20800000000000002,-0.16899999999999998,-0.19899999999999998,-0.24100000000000002,-0.225,0.303
82,0.005,0.013000000000000001,0.027999999999999997,-0.006,-0.09300000000000001,-0.035,-0.021,0.031,0.042,-0.005,0.031,0.055,-0.017,0.049,-0.034,-0.011000000000000001,0.022000000000000002,0.349,0.192,0.032,0.055999999999999994,0.011000000000000001,0.28
82,0.006,0.005,0.006999999999999999,-0.001,0.094,0.023,0.023,-0.009000000000000001,0.003,-0.006,-0.033,-0.027000000000000003,-0.005,0.01,0.055,0.042,-0.051,-0.204,0.153,0.064,0.043,0.002,0.317
82,-0.01,0.003,-0.006,0.004,-0.313,-0.258,-0.027,0.078,0.07400000000000001,0.002,-0.04,-0.022000000000000002,-0.015,-0.051,-0.031,-0.037000000000000005,0.021,-0.021,-0.066,0.059000000000000004,0.045,-0.027999999999999997,0.232
82,0.004,-0.027000000000000003,-0.018000000000000002,-0.004,0.025,0.0,0.009,-0.039,-0.024,-0.007,-0.161,-0.179,0.017,0.009000000000000001,0.011000000000000001,0.01,-0.032,-0.005,0.043,-0.045,-0.11900000000000001,-0.053,0.524
82,0.0,0.032,0.025,0.003,0.129,0.158,-0.009,0.013000000000000001,-0.011000000000000001,0.011,-0.018000000000000002,-0.027999999999999997,0.008,-0.036000000000000004,0.015,-0.001,0.09,-0.035,0.106,-0.009000000000000001,-0.017,0.026000000000000002,0.5
82,0.003,0.003,-0.02,0.01,-0.033,-0.069,0.013,0.011000000000000001,-0.006,0.008,0.052000000000000005,0.008,0.032,-0.086,-0.013000000000000001,-0.036000000000000004,-0.026000000000000002,-0.081,-0.023,-0.025,0.027000000000000003,0.012,0.512
82,-0.003,0.075,0.036000000000000004,0.016,0.187,0.18,0.002,0.055,0.002,0.023,0.13699999999999998,0.12,0.011,0.016,-0.008,0.0,0.017,-0.023,-0.145,-0.18600000000000003,0.055,0.095,0.549
82,0.0,-0.021,0.025,-0.02,0.711,0.565,0.029,-0.09300000000000001,-0.053,-0.019,-0.024,0.065,-0.064,0.21600000000000003,-0.001,0.059000000000000004,-0.047,0.18,0.040999999999999995,0.314,0.040999999999999995,0.003,0.305
82,0.005,-0.042,-0.040999999999999995,-0.0,-0.17,0.032,-0.076,-0.027000000000000003,-0.05,0.011,0.132,0.113,0.013,-0.131,0.001,-0.039,-0.06,0.08900000000000001,0.102,0.025,-0.067,-0.013999999999999999,0.451
82,0.003,0.037000000000000005,0.033,0.002,0.109,-0.073,0.064,0.028999999999999998,0.049,-0.008,-0.162,-0.16899999999999998,0.006,0.038,0.01,0.018000000000000002,0.040999999999999995,-0.095,-0.076,-0.23199999999999998,-0.078,-0.005,0.232
82,-0.006,-0.059000000000000004,-0.034,-0.012,-0.179,-0.047,-0.052,-0.044000000000000004,-0.032,-0.006,0.08800000000000001,0.065,0.016,-0.045,-0.027999999999999997,-0.033,-0.07,0.062,0.0,0.054000000000000006,-0.11,-0.035,0.354
82,0.644,0.7020000000000001,0.6829999999999999,0.005,0.872,0.534,0.068,0.6829999999999999,0.7090000000000001,-0.007,0.853,0.759,0.038,0.7879999999999999,0.738,0.753,0.664,0.509,0.9840000000000001,0.7929999999999999,0.867,0.737,0.36
50,-0.392,-0.426,-0.41700000000000004,-0.007,-0.441,-0.386,-0.03,-0.424,-0.42200000000000004,-0.002,-0.433,-0.444,0.015,-0.469,-0.401,-0.423,-0.44,-0.43,-0.491,-0.363,-0.374,-0.428,0.512
82,-0.003,-0.04,0.02,-0.028,-0.033,-0.057,0.008,-0.040999999999999995,0.033,-0.036,0.064,0.08900000000000001,-0.017,0.11,-0.033,0.009000000000000001,-0.011000000000000001,-0.032,-0.057,-0.10300000000000001,0.013000000000000001,-0.022000000000000002,0.537
