G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
60,-0.173,-0.159,-0.16,0.001,-0.156,-0.165,0.004,-0.16,-0.158,-0.002,-0.259,-0.252,-0.008,-0.217,-0.181,-0.189,-0.159,-0.181,-0.222,-0.225,-0.203,-0.176,0.483
63,-0.119,-0.16,-0.139,-0.012,-0.19,-0.119,-0.03,-0.146,-0.153,0.004,-0.073,-0.118,0.039,-0.122,-0.071,-0.083,-0.112,-0.185,-0.008,-0.131,-0.203,-0.152,0.571
63,-0.117,-0.074,-0.08,0.003,-0.124,-0.094,-0.012,-0.049,-0.071,0.012,-0.127,-0.092,-0.029,-0.084,-0.1,-0.096,-0.115,-0.035,-0.11,-0.21,-0.025,-0.088,0.476
62,-0.142,-0.142,-0.154,0.006,-0.241,-0.249,0.004,-0.1,-0.094,-0.004,0.079,0.049,0.023,-0.216,-0.16,-0.172,-0.222,-0.085,-0.082,-0.262,-0.149,-0.126,0.629
61,-0.16,-0.135,-0.165,0.016,-0.007,-0.054,0.017,-0.18,-0.223,0.028,-0.18,-0.195,0.013,-0.161,-0.097,-0.112,-0.105,-0.22,-0.188,-0.184,-0.212,-0.13,0.59
61,-0.15,-0.193,-0.167,-0.015,-0.217,-0.179,-0.017,-0.181,-0.159,-0.015,-0.192,-0.181,-0.011,-0.128,-0.157,-0.151,-0.128,-0.049,-0.193,-0.114,-0.133,-0.196,0.59
61,-0.16,-0.196,-0.178,-0.01,-0.143,-0.093,-0.021,-0.218,-0.232,0.01,-0.169,-0.156,-0.013,-0.277,-0.124,-0.16,-0.142,-0.244,-0.31,-0.095,-0.138,-0.186,0.59
61,-0.156,-0.178,-0.12,-0.03,-0.19,-0.111,-0.031,-0.173,-0.126,-0.028,-0.189,-0.209,0.019,-0.024,-0.181,-0.145,-0.205,-0.113,-0.21,-0.176,-0.104,-0.181,0.246
61,-0.151,-0.172,-0.169,-0.002,-0.158,-0.123,-0.015,-0.18,-0.205,0.017,-0.199,-0.176,-0.022,0.037,-0.13,-0.099,-0.162,-0.024,-0.143,-0.148,-0.183,-0.174,0.705
60,-0.166,-0.178,-0.19,0.006,-0.194,-0.204,0.004,-0.17,-0.178,0.005,-0.111,-0.075,-0.029,-0.13,-0.186,-0.174,-0.186,-0.2,-0.247,-0.052,-0.133,-0.17,0.25
